Year,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Count,Median
2013,Yarra,3067,Abbotsford,A Crimes against the person,A20 Assault and related offences,40,792500.0
2013,Yarra,3067,Abbotsford,A Crimes against the person,A50 Robbery,4,792500.0
2013,Yarra,3067,Abbotsford,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",6,792500.0
2013,Yarra,3067,Abbotsford,A Crimes against the person,A80 Dangerous and negligent acts endangering people,7,792500.0
2013,Yarra,3067,Abbotsford,A Crimes against the person,Other crimes against the person,4,792500.0
2014,Yarra,3067,Abbotsford,A Crimes against the person,A20 Assault and related offences,49,862500.0
2014,Yarra,3067,Abbotsford,A Crimes against the person,A50 Robbery,6,862500.0
2014,Yarra,3067,Abbotsford,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",3,862500.0
2014,Yarra,3067,Abbotsford,A Crimes against the person,A80 Dangerous and negligent acts endangering people,2,862500.0
2014,Yarra,3067,Abbotsford,A Crimes against the person,Other crimes against the person,5,862500.0
2015,Yarra,3067,Abbotsford,A Crimes against the person,A20 Assault and related offences,48,925000.0
2015,Yarra,3067,Abbotsford,A Crimes against the person,A50 Robbery,7,925000.0
2015,Yarra,3067,Abbotsford,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",14,925000.0
2015,Yarra,3067,Abbotsford,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,925000.0
2015,Yarra,3067,Abbotsford,A Crimes against the person,Other crimes against the person,16,925000.0
2016,Yarra,3067,Abbotsford,A Crimes against the person,A20 Assault and related offences,72,1187500.0
2016,Yarra,3067,Abbotsford,A Crimes against the person,A50 Robbery,8,1187500.0
2016,Yarra,3067,Abbotsford,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",11,1187500.0
2016,Yarra,3067,Abbotsford,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1,1187500.0
2016,Yarra,3067,Abbotsford,A Crimes against the person,Other crimes against the person,15,1187500.0
2017,Yarra,3067,Abbotsford,A Crimes against the person,A20 Assault and related offences,79,1280000.0
2017,Yarra,3067,Abbotsford,A Crimes against the person,A50 Robbery,15,1280000.0
2017,Yarra,3067,Abbotsford,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",15,1280000.0
2017,Yarra,3067,Abbotsford,A Crimes against the person,A80 Dangerous and negligent acts endangering people,10,1280000.0
2017,Yarra,3067,Abbotsford,A Crimes against the person,Other crimes against the person,19,1280000.0
2018,Yarra,3067,Abbotsford,A Crimes against the person,A20 Assault and related offences,61,1192500.0
