Suburb/Town Name,Postcode,Local Government Area,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,%_crime_change,crime_quartile,%_property_incr
Lucas,3350,Ballarat,0.0,0.0,2.0,3.0,9.0,11.0,5.0,5.0,8.0,23.0,23000.0,4.0,95.83
Lake Bunga,3909,East Gippsland,0.0,4.0,7.0,0.0,5.0,3.0,1.0,2.0,1.0,4.0,4000.0,4.0,320.0
Paradise Beach,3851,Wellington,0.0,2.0,0.0,3.0,2.0,1.0,1.0,6.0,9.0,4.0,4000.0,4.0,149.24
Armstrong Creek,3217,Greater Geelong,2.0,2.0,6.0,14.0,15.0,27.0,52.0,44.0,71.0,84.0,3904.76,4.0,54.22
Sandy Point,3959,South Gippsland,0.0,0.0,0.0,2.0,1.0,1.0,2.0,9.0,9.0,3.0,3000.0,4.0,132.62
Jamieson,3723,Mansfield,0.0,4.0,6.0,6.0,2.0,4.0,2.0,0.0,2.0,3.0,3000.0,4.0,234.63
Skenes Creek,3233,Colac-Otway,0.0,1.0,1.0,3.0,1.0,4.0,1.0,5.0,4.0,2.0,2000.0,4.0,82.8
Marengo,3233,Colac-Otway,0.0,2.0,1.0,1.0,3.0,0.0,1.0,2.0,6.0,2.0,2000.0,4.0,130.0
Weir Views,3338,Melton,4.0,3.0,8.0,15.0,19.0,25.0,39.0,62.0,67.0,86.0,2000.0,4.0,81.22
Hopetoun,3396,Yarriambiack,1.0,4.0,9.0,6.0,9.0,4.0,12.0,11.0,8.0,20.0,1727.27,4.0,143.75
Clyde North,3978,Casey,16.0,27.0,42.0,83.0,78.0,131.0,173.0,235.0,212.0,285.0,1670.81,4.0,83.37
Curlewis,3222,Greater Geelong,2.0,1.0,2.0,5.0,17.0,17.0,46.0,26.0,43.0,34.0,1523.81,4.0,79.77
Strathmore Heights,3041,Moonee Valley,1.0,3.0,6.0,6.0,2.0,3.0,4.0,8.0,7.0,15.0,1272.73,4.0,83.17
Cobblebank,3338,Melton,4.0,3.0,2.0,9.0,11.0,17.0,32.0,36.0,38.0,55.0,1243.9,4.0,92.7
Glenrowan,3675,Wangaratta,3.0,8.0,4.0,5.0,6.0,6.0,46.0,17.0,3.0,38.0,1129.03,4.0,124.35
Dinner Plain,3898,Alpine,0.0,0.0,0.0,1.0,5.0,2.0,1.0,3.0,1.0,1.0,1000.0,4.0,130.77
The Honeysuckles,3851,Wellington,0.0,1.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,1000.0,4.0,134.81
Fraser Rise,3336,Melton,8.0,6.0,11.0,14.0,15.0,18.0,37.0,63.0,51.0,84.0,938.27,4.0,55.16
Belgrave South,3160,Yarra Ranges,2.0,8.0,14.0,4.0,11.0,8.0,3.0,1.0,15.0,21.0,904.76,4.0,61.5
Huntly,3163,Greater Bendigo,6.0,6.0,17.0,13.0,27.0,23.0,41.0,35.0,39.0,53.0,770.49,4.0,62.37
Eynesbury,3338,Melton,2.0,4.0,5.0,10.0,5.0,4.0,9.0,22.0,23.0,18.0,761.9,4.0,83.1
Wollert,3750,Whittlesea,20.0,39.0,45.0,73.0,97.0,105.0,115.0,166.0,163.0,173.0,761.19,4.0,76.25
Golden Beach,3851,Wellington,1.0,5.0,3.0,11.0,18.0,8.0,4.0,9.0,11.0,9.0,727.27,4.0,121.24
Dalyston,3992,Bass Coast,1.0,8.0,17.0,14.0,11.0,13.0,3.0,24.0,34.0,9.0,727.27,4.0,131.63
Kalkallo,3064,Hume,6.0,11.0,8.0,9.0,14.0,15.0,41.0,47.0,52.0,48.0,688.52,4.0,41.11
Eureka,3350,Ballarat,2.0,7.0,4.0,5.0,7.0,17.0,16.0,15.0,16.0,16.0,666.67,4.0,119.71
Mickleham,3064,Hume,26.0,32.0,26.0,35.0,50.0,78.0,95.0,151.0,211.0,195.0,647.51,4.0,212.21
Hepburn Springs,3461,Hepburn,1.0,5.0,4.0,4.0,15.0,0.0,5.0,4.0,5.0,8.0,636.36,4.0,150.0
Gordon,3345,Moorabool,2.0,7.0,6.0,6.0,8.0,7.0,20.0,10.0,11.0,15.0,619.05,4.0,267.15
Grantville,3984,Bass Coast,7.0,10.0,23.0,9.0,55.0,25.0,29.0,12.0,26.0,47.0,563.38,4.0,165.35
Fyansford,3218,Greater Geelong,1.0,31.0,7.0,3.0,5.0,10.0,4.0,4.0,12.0,7.0,545.45,4.0,154.85
Blackwood,3458,Moorabool,1.0,0.0,3.0,0.0,3.0,8.0,8.0,6.0,17.0,7.0,545.45,4.0,135.48
Birregurra,3242,Colac-Otway,1.0,7.0,9.0,1.0,5.0,7.0,14.0,2.0,5.0,7.0,545.45,4.0,216.67
Natimuk,3409,Horsham,1.0,0.0,3.0,8.0,3.0,12.0,3.0,17.0,3.0,7.0,545.45,4.0,65.66
Officer,3809,Cardinia,25.0,37.0,72.0,91.0,78.0,96.0,101.0,129.0,151.0,159.0,533.86,4.0,110.53
Manor Lakes,3024,Wyndham,26.0,30.0,54.0,63.0,58.0,97.0,126.0,126.0,152.0,163.0,524.9,4.0,94.13
Strathtulloh,3338,Melton,7.0,4.0,1.0,7.0,9.0,8.0,17.0,18.0,80.0,43.0,507.04,4.0,83.57
Queenscliff,3225,Queenscliffe,2.0,4.0,6.0,9.0,8.0,9.0,9.0,8.0,6.0,12.0,476.19,4.0,196.83
Truganina,3029,Wyndham,68.0,68.0,117.0,138.0,217.0,189.0,198.0,228.0,304.0,370.0,443.47,4.0,81.94
Indented Head,3223,Greater Geelong,4.0,2.0,1.0,6.0,6.0,4.0,7.0,8.0,13.0,21.0,414.63,4.0,124.36
Diggers Rest,3427,Melton,21.0,34.0,35.0,55.0,38.0,39.0,36.0,57.0,58.0,103.0,388.63,4.0,134.82
The Patch,3792,Yarra Ranges,2.0,2.0,3.0,3.0,6.0,2.0,0.0,0.0,8.0,10.0,380.95,4.0,105.21
Harcourt,3453,Mount Alexander,6.0,6.0,5.0,8.0,11.0,3.0,7.0,3.0,10.0,29.0,377.05,4.0,99.03
Yarragon,3823,Baw Baw,6.0,19.0,14.0,27.0,35.0,30.0,29.0,20.0,49.0,29.0,377.05,4.0,130.62
Winter Valley,3358,Ballarat,4.0,2.0,3.0,5.0,2.0,7.0,10.0,12.0,12.0,19.0,365.85,4.0,74.46
Tawonga,3697,Alpine,1.0,2.0,0.0,0.0,0.0,3.0,6.0,7.0,0.0,5.0,363.64,4.0,98.39
Mount Duneed,3217,Greater Geelong,6.0,10.0,10.0,14.0,19.0,43.0,25.0,28.0,33.0,28.0,360.66,4.0,169.23
Williams Landing,3027,Wyndham,19.0,20.0,28.0,39.0,60.0,49.0,56.0,62.0,53.0,87.0,356.02,4.0,70.74
Corinella,3984,Bass Coast,5.0,10.0,12.0,5.0,13.0,9.0,23.0,15.0,21.0,23.0,352.94,4.0,351.67
Bonnie Doon,3720,Mansfield,6.0,11.0,5.0,15.0,3.0,11.0,6.0,12.0,13.0,27.0,344.26,4.0,205.0
Macedon,3440,Macedon Ranges,8.0,14.0,11.0,12.0,26.0,6.0,23.0,12.0,14.0,34.0,320.99,4.0,93.88
Merbein,3505,Mildura,31.0,32.0,43.0,61.0,59.0,62.0,62.0,62.0,90.0,130.0,318.33,4.0,110.32
Charlton,3525,Buloke,9.0,8.0,6.0,11.0,7.0,14.0,18.0,16.0,7.0,36.0,296.7,4.0,125.0
