Year,Local Government Area,Postcode_x,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Count,locality,Postcode_y,year,Median
2013,Yarra,3067,Abbotsford,A Crimes against the person,A20 Assault and related offences,40,Abbotsford,3067,2013,792500.0
2013,Yarra,3067,Abbotsford,A Crimes against the person,A50 Robbery,4,Abbotsford,3067,2013,792500.0
2013,Yarra,3067,Abbotsford,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",6,Abbotsford,3067,2013,792500.0
2013,Yarra,3067,Abbotsford,A Crimes against the person,A80 Dangerous and negligent acts endangering people,7,Abbotsford,3067,2013,792500.0
2013,Yarra,3067,Abbotsford,A Crimes against the person,Other crimes against the person,4,Abbotsford,3067,2013,792500.0
2013,Moonee Valley,3040,Aberfeldie,A Crimes against the person,A20 Assault and related offences,11,Aberfeldie,3040,2013,947500.0
2013,Moonee Valley,3040,Aberfeldie,A Crimes against the person,A50 Robbery,2,Aberfeldie,3040,2013,947500.0
2013,Moonee Valley,3040,Aberfeldie,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5,Aberfeldie,3040,2013,947500.0
2013,Moonee Valley,3040,Aberfeldie,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1,Aberfeldie,3040,2013,947500.0
2013,Moonee Valley,3040,Aberfeldie,A Crimes against the person,Other crimes against the person,1,Aberfeldie,3040,2013,947500.0
2013,Surf Coast,3231,Aireys Inlet,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1,Aireys Inlet,3231,2013,664000.0
2013,Surf Coast,3231,Aireys Inlet,A Crimes against the person,Other crimes against the person,3,Aireys Inlet,3231,2013,664000.0
2013,Moonee Valley,3042,Airport West,A Crimes against the person,A20 Assault and related offences,41,Airport West,3042,2013,532000.0
2013,Moonee Valley,3042,Airport West,A Crimes against the person,A50 Robbery,4,Airport West,3042,2013,532000.0
2013,Moonee Valley,3042,Airport West,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",24,Airport West,3042,2013,532000.0
2013,Moonee Valley,3042,Airport West,A Crimes against the person,A80 Dangerous and negligent acts endangering people,9,Airport West,3042,2013,532000.0
2013,Moonee Valley,3042,Airport West,A Crimes against the person,Other crimes against the person,2,Airport West,3042,2013,532000.0
2013,Brimbank,3021,Albanvale,A Crimes against the person,A20 Assault and related offences,42,Albanvale,3021,2013,313000.0
2013,Brimbank,3021,Albanvale,A Crimes against the person,A50 Robbery,7,Albanvale,3021,2013,313000.0
2013,Brimbank,3021,Albanvale,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8,Albanvale,3021,2013,313000.0
2013,Brimbank,3021,Albanvale,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1,Albanvale,3021,2013,313000.0
