Year,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Count,Median
2013,Yarra,3067,Abbotsford,B Property and deception offences,B10 Arson,3,792500.0
2013,Yarra,3067,Abbotsford,B Property and deception offences,B20 Property damage,75,792500.0
2013,Yarra,3067,Abbotsford,B Property and deception offences,B30 Burglary/Break and enter,127,792500.0
2013,Yarra,3067,Abbotsford,B Property and deception offences,B40 Theft,359,792500.0
2013,Yarra,3067,Abbotsford,B Property and deception offences,B50 Deception,166,792500.0
2014,Yarra,3067,Abbotsford,B Property and deception offences,B10 Arson,2,862500.0
2014,Yarra,3067,Abbotsford,B Property and deception offences,B20 Property damage,95,862500.0
2014,Yarra,3067,Abbotsford,B Property and deception offences,B30 Burglary/Break and enter,117,862500.0
2014,Yarra,3067,Abbotsford,B Property and deception offences,B40 Theft,467,862500.0
2014,Yarra,3067,Abbotsford,B Property and deception offences,B50 Deception,107,862500.0
2015,Yarra,3067,Abbotsford,B Property and deception offences,B10 Arson,2,925000.0
2015,Yarra,3067,Abbotsford,B Property and deception offences,B20 Property damage,92,925000.0
2015,Yarra,3067,Abbotsford,B Property and deception offences,B30 Burglary/Break and enter,133,925000.0
2015,Yarra,3067,Abbotsford,B Property and deception offences,B40 Theft,614,925000.0
2015,Yarra,3067,Abbotsford,B Property and deception offences,B50 Deception,311,925000.0
2016,Yarra,3067,Abbotsford,B Property and deception offences,B20 Property damage,81,1187500.0
2016,Yarra,3067,Abbotsford,B Property and deception offences,B30 Burglary/Break and enter,112,1187500.0
2016,Yarra,3067,Abbotsford,B Property and deception offences,B40 Theft,640,1187500.0
2016,Yarra,3067,Abbotsford,B Property and deception offences,B50 Deception,232,1187500.0
2017,Yarra,3067,Abbotsford,B Property and deception offences,B10 Arson,4,1280000.0
2017,Yarra,3067,Abbotsford,B Property and deception offences,B20 Property damage,100,1280000.0
2017,Yarra,3067,Abbotsford,B Property and deception offences,B30 Burglary/Break and enter,142,1280000.0
2017,Yarra,3067,Abbotsford,B Property and deception offences,B40 Theft,590,1280000.0
2017,Yarra,3067,Abbotsford,B Property and deception offences,B50 Deception,183,1280000.0
2018,Yarra,3067,Abbotsford,B Property and deception offences,B20 Property damage,100,1192500.0
2018,Yarra,3067,Abbotsford,B Property and deception offences,B30 Burglary/Break and enter,127,1192500.0
2018,Yarra,3067,Abbotsford,B Property and deception offences,B40 Theft,766,1192500.0
2018,Yarra,3067,Abbotsford,B Property and deception offences,B50 Deception,169,1192500.0
2019,Yarra,3067,Abbotsford,B Property and deception offences,B10 Arson,5,1050000.0
2019,Yarra,3067,Abbotsford,B Property and deception offences,B20 Property damage,108,1050000.0
2019,Yarra,3067,Abbotsford,B Property and deception offences,B30 Burglary/Break and enter,108,1050000.0
2019,Yarra,3067,Abbotsford,B Property and deception offences,B40 Theft,656,1050000.0
2019,Yarra,3067,Abbotsford,B Property and deception offences,B50 Deception,176,1050000.0
2020,Yarra,3067,Abbotsford,B Property and deception offences,B10 Arson,3,1200000.0
2020,Yarra,3067,Abbotsford,B Property and deception offences,B20 Property damage,82,1200000.0
2020,Yarra,3067,Abbotsford,B Property and deception offences,B30 Burglary/Break and enter,121,1200000.0
2020,Yarra,3067,Abbotsford,B Property and deception offences,B40 Theft,625,1200000.0
2020,Yarra,3067,Abbotsford,B Property and deception offences,B50 Deception,154,1200000.0
2021,Yarra,3067,Abbotsford,B Property and deception offences,B10 Arson,1,1375000.0
2021,Yarra,3067,Abbotsford,B Property and deception offences,B20 Property damage,106,1375000.0
2021,Yarra,3067,Abbotsford,B Property and deception offences,B30 Burglary/Break and enter,103,1375000.0
2021,Yarra,3067,Abbotsford,B Property and deception offences,B40 Theft,573,1375000.0
2021,Yarra,3067,Abbotsford,B Property and deception offences,B50 Deception,170,1375000.0
2022,Yarra,3067,Abbotsford,B Property and deception offences,B10 Arson,2,1517500.0
2022,Yarra,3067,Abbotsford,B Property and deception offences,B20 Property damage,99,1517500.0
2022,Yarra,3067,Abbotsford,B Property and deception offences,B30 Burglary/Break and enter,94,1517500.0
2022,Yarra,3067,Abbotsford,B Property and deception offences,B40 Theft,530,1517500.0
2022,Yarra,3067,Abbotsford,B Property and deception offences,B50 Deception,110,1517500.0
2013,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B20 Property damage,14,947500.0
2013,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B30 Burglary/Break and enter,30,947500.0
2013,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B40 Theft,31,947500.0
2013,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B50 Deception,2,947500.0
2014,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B20 Property damage,24,1045000.0
2014,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B30 Burglary/Break and enter,26,1045000.0
2014,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B40 Theft,56,1045000.0
2014,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B50 Deception,1,1045000.0
2015,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B20 Property damage,15,1207500.0
2015,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B30 Burglary/Break and enter,23,1207500.0
2015,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B40 Theft,67,1207500.0
2015,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B50 Deception,4,1207500.0
2016,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B20 Property damage,12,1300000.0
2016,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B30 Burglary/Break and enter,13,1300000.0
2016,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B40 Theft,75,1300000.0
2016,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B50 Deception,3,1300000.0
2017,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B20 Property damage,12,1471000.0
2017,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B30 Burglary/Break and enter,11,1471000.0
2017,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B40 Theft,51,1471000.0
2017,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B50 Deception,3,1471000.0
2018,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B10 Arson,2,1498500.0
2018,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B20 Property damage,7,1498500.0
2018,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B30 Burglary/Break and enter,12,1498500.0
2018,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B40 Theft,60,1498500.0
2018,Moonee Valley,3040,Aberfeldie,B Property and deception offences,B50 Deception,2,1498500.0
