Year,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Count,Median
2013,Yarra,3067,Abbotsford,C Drug offences,C10 Drug dealing and trafficking,18,792500.0
2013,Yarra,3067,Abbotsford,C Drug offences,C30 Drug use and possession,61,792500.0
2014,Yarra,3067,Abbotsford,C Drug offences,C10 Drug dealing and trafficking,9,862500.0
2014,Yarra,3067,Abbotsford,C Drug offences,C20 Cultivate or manufacture drugs,3,862500.0
2014,Yarra,3067,Abbotsford,C Drug offences,C30 Drug use and possession,73,862500.0
2015,Yarra,3067,Abbotsford,C Drug offences,C10 Drug dealing and trafficking,14,925000.0
2015,Yarra,3067,Abbotsford,C Drug offences,C30 Drug use and possession,63,925000.0
2016,Yarra,3067,Abbotsford,C Drug offences,C10 Drug dealing and trafficking,7,1187500.0
2016,Yarra,3067,Abbotsford,C Drug offences,C20 Cultivate or manufacture drugs,5,1187500.0
2016,Yarra,3067,Abbotsford,C Drug offences,C30 Drug use and possession,64,1187500.0
2017,Yarra,3067,Abbotsford,C Drug offences,C10 Drug dealing and trafficking,7,1280000.0
2017,Yarra,3067,Abbotsford,C Drug offences,C20 Cultivate or manufacture drugs,3,1280000.0
2017,Yarra,3067,Abbotsford,C Drug offences,C30 Drug use and possession,54,1280000.0
2018,Yarra,3067,Abbotsford,C Drug offences,C10 Drug dealing and trafficking,24,1192500.0
2018,Yarra,3067,Abbotsford,C Drug offences,C20 Cultivate or manufacture drugs,1,1192500.0
2018,Yarra,3067,Abbotsford,C Drug offences,C30 Drug use and possession,63,1192500.0
2019,Yarra,3067,Abbotsford,C Drug offences,C10 Drug dealing and trafficking,40,1050000.0
2019,Yarra,3067,Abbotsford,C Drug offences,C20 Cultivate or manufacture drugs,2,1050000.0
2019,Yarra,3067,Abbotsford,C Drug offences,C30 Drug use and possession,136,1050000.0
2020,Yarra,3067,Abbotsford,C Drug offences,C10 Drug dealing and trafficking,37,1200000.0
2020,Yarra,3067,Abbotsford,C Drug offences,C20 Cultivate or manufacture drugs,2,1200000.0
2020,Yarra,3067,Abbotsford,C Drug offences,C30 Drug use and possession,112,1200000.0
2021,Yarra,3067,Abbotsford,C Drug offences,C10 Drug dealing and trafficking,32,1375000.0
2021,Yarra,3067,Abbotsford,C Drug offences,C20 Cultivate or manufacture drugs,8,1375000.0
2021,Yarra,3067,Abbotsford,C Drug offences,C30 Drug use and possession,117,1375000.0
2022,Yarra,3067,Abbotsford,C Drug offences,C10 Drug dealing and trafficking,27,1517500.0
2022,Yarra,3067,Abbotsford,C Drug offences,C20 Cultivate or manufacture drugs,1,1517500.0
2022,Yarra,3067,Abbotsford,C Drug offences,C30 Drug use and possession,106,1517500.0
2022,Yarra,3067,Abbotsford,C Drug offences,C90 Other drug offences,1,1517500.0
2014,Moonee Valley,3040,Aberfeldie,C Drug offences,C30 Drug use and possession,8,1045000.0
2015,Moonee Valley,3040,Aberfeldie,C Drug offences,C10 Drug dealing and trafficking,2,1207500.0
2015,Moonee Valley,3040,Aberfeldie,C Drug offences,C20 Cultivate or manufacture drugs,1,1207500.0
2015,Moonee Valley,3040,Aberfeldie,C Drug offences,C30 Drug use and possession,12,1207500.0
2016,Moonee Valley,3040,Aberfeldie,C Drug offences,C30 Drug use and possession,3,1300000.0
2017,Moonee Valley,3040,Aberfeldie,C Drug offences,C30 Drug use and possession,2,1471000.0
2018,Moonee Valley,3040,Aberfeldie,C Drug offences,C10 Drug dealing and trafficking,2,1498500.0
2018,Moonee Valley,3040,Aberfeldie,C Drug offences,C20 Cultivate or manufacture drugs,2,1498500.0
2018,Moonee Valley,3040,Aberfeldie,C Drug offences,C30 Drug use and possession,9,1498500.0
2019,Moonee Valley,3040,Aberfeldie,C Drug offences,C10 Drug dealing and trafficking,1,1390000.0
2019,Moonee Valley,3040,Aberfeldie,C Drug offences,C30 Drug use and possession,12,1390000.0
2020,Moonee Valley,3040,Aberfeldie,C Drug offences,C10 Drug dealing and trafficking,1,1520000.0
2020,Moonee Valley,3040,Aberfeldie,C Drug offences,C20 Cultivate or manufacture drugs,1,1520000.0
2020,Moonee Valley,3040,Aberfeldie,C Drug offences,C30 Drug use and possession,6,1520000.0
2021,Moonee Valley,3040,Aberfeldie,C Drug offences,C20 Cultivate or manufacture drugs,1,1880500.0
2021,Moonee Valley,3040,Aberfeldie,C Drug offences,C30 Drug use and possession,4,1880500.0
2022,Moonee Valley,3040,Aberfeldie,C Drug offences,C30 Drug use and possession,2,1575000.0
2017,Melton,3336,Aintree,C Drug offences,C20 Cultivate or manufacture drugs,1,571000.0
2017,Melton,3336,Aintree,C Drug offences,C30 Drug use and possession,6,571000.0
2018,Melton,3336,Aintree,C Drug offences,C20 Cultivate or manufacture drugs,2,557500.0
2018,Melton,3336,Aintree,C Drug offences,C30 Drug use and possession,1,557500.0
2019,Melton,3336,Aintree,C Drug offences,C10 Drug dealing and trafficking,7,575000.0
2019,Melton,3336,Aintree,C Drug offences,C30 Drug use and possession,12,575000.0
2020,Melton,3336,Aintree,C Drug offences,C10 Drug dealing and trafficking,1,640000.0
2020,Melton,3336,Aintree,C Drug offences,C20 Cultivate or manufacture drugs,1,640000.0
2020,Melton,3336,Aintree,C Drug offences,C30 Drug use and possession,1,640000.0
