Suburb/Town Name,Postcode,Local Government Area,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,%_crime_change,crime_quartile,%_property_incr
Donald,3480,Buloke,0.0,0.0,1.0,1.0,0.0,0.0,38.0,73.0,5.0,46.0,46000.0,4.0,60.71
Cohuna,3568,Gannawarra,0.0,14.0,10.0,1.0,2.0,7.0,6.0,21.0,9.0,21.0,21000.0,4.0,97.84
Weir Views,3338,Melton,0.0,5.0,4.0,4.0,2.0,2.0,15.0,17.0,20.0,19.0,19000.0,4.0,81.22
Barwon Heads,3227,Greater Geelong,0.0,5.0,5.0,0.0,0.0,3.0,2.0,4.0,6.0,17.0,17000.0,4.0,124.58
Gowanbrae,3043,Merri-bek,0.0,2.0,0.0,9.0,1.0,7.0,4.0,16.0,0.0,16.0,16000.0,4.0,63.83
Macedon,3440,Macedon Ranges,0.0,19.0,6.0,3.0,7.0,6.0,16.0,13.0,38.0,15.0,15000.0,4.0,93.88
Williams Landing,3027,Wyndham,0.0,2.0,4.0,4.0,16.0,9.0,38.0,24.0,24.0,15.0,15000.0,4.0,70.74
Notting Hill,3168,Monash,0.0,10.0,13.0,10.0,23.0,16.0,26.0,14.0,15.0,15.0,15000.0,4.0,115.36
Armstrong Creek,3217,Greater Geelong,0.0,1.0,0.0,14.0,2.0,9.0,14.0,19.0,3.0,13.0,13000.0,4.0,54.22
Nyah West,3595,Swan Hill,0.0,0.0,8.0,1.0,3.0,1.0,7.0,7.0,5.0,7.0,7000.0,4.0,122.34
Badger Creek,3777,Yarra Ranges,0.0,0.0,4.0,3.0,8.0,9.0,4.0,3.0,1.0,6.0,6000.0,4.0,122.22
Botanic Ridge,3977,Casey,0.0,1.0,3.0,5.0,9.0,1.0,10.0,3.0,1.0,6.0,6000.0,4.0,77.85
Murtoa,3390,Yarriambiack,0.0,3.0,6.0,4.0,0.0,0.0,4.0,0.0,2.0,6.0,6000.0,4.0,68.42
Launching Place,3139,Yarra Ranges,0.0,3.0,2.0,3.0,5.0,3.0,6.0,19.0,3.0,5.0,5000.0,4.0,148.48
Portarlington,3223,Greater Geelong,0.0,5.0,8.0,6.0,2.0,4.0,8.0,12.0,6.0,5.0,5000.0,4.0,144.62
Wesburn,3799,Yarra Ranges,0.0,2.0,1.0,3.0,2.0,0.0,5.0,12.0,2.0,4.0,4000.0,4.0,124.0
Nichols Point,3501,Mildura,0.0,1.0,9.0,5.0,13.0,4.0,1.0,3.0,2.0,4.0,4000.0,4.0,57.98
Deepdene,3103,Boroondara,0.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,5.0,4.0,4000.0,4.0,68.0
Kingsbury,3083,Darebin,1.0,9.0,20.0,17.0,5.0,12.0,24.0,49.0,45.0,43.0,3818.18,4.0,60.11
Leitchville,3567,Gannawarra,0.0,4.0,1.0,4.0,0.0,2.0,1.0,0.0,1.0,3.0,3000.0,4.0,201.02
Lindenow,3865,East Gippsland,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,3.0,3000.0,4.0,126.25
Ouyen,3490,Mildura,0.0,5.0,3.0,12.0,8.0,7.0,4.0,7.0,5.0,3.0,3000.0,4.0,80.0
Quarry Hill,3550,Greater Bendigo,0.0,4.0,14.0,5.0,9.0,5.0,5.0,5.0,5.0,3.0,3000.0,4.0,51.95
Birregurra,3242,Colac-Otway,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,3000.0,4.0,216.67
Brown Hill,3350,Ballarat,0.0,3.0,1.0,4.0,10.0,0.0,3.0,9.0,4.0,3.0,3000.0,4.0,103.23
Bright,3741,Alpine,0.0,4.0,4.0,6.0,13.0,3.0,2.0,8.0,9.0,3.0,3000.0,4.0,276.92
Sassafras,3787,Yarra Ranges,0.0,2.0,2.0,0.0,9.0,1.0,0.0,0.0,2.0,3.0,3000.0,4.0,53.91
Fyansford,3218,Greater Geelong,0.0,0.0,3.0,17.0,0.0,6.0,3.0,0.0,10.0,3.0,3000.0,4.0,154.85
Koondrook,3580,Gannawarra,0.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,2000.0,4.0,60.68
Wandana Heights,3216,Greater Geelong,0.0,2.0,4.0,4.0,1.0,0.0,1.0,5.0,2.0,2.0,2000.0,4.0,90.74
Aberfeldie,3040,Moonee Valley,0.0,8.0,15.0,3.0,2.0,13.0,13.0,8.0,5.0,2.0,2000.0,4.0,66.23
Merrigum,3618,Greater Shepparton,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,2000.0,4.0,54.83
Coronet Bay,3984,Bass Coast,0.0,0.0,4.0,1.0,4.0,1.0,2.0,1.0,0.0,2.0,2000.0,4.0,154.98
Beaconsfield Upper,3808,Cardinia,0.0,2.0,27.0,6.0,9.0,5.0,10.0,1.0,0.0,2.0,2000.0,4.0,156.38
Cape Schanck,3939,Mornington Peninsula,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,2.0,2000.0,4.0,53.63
Shoreham,3916,Mornington Peninsula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2000.0,4.0,90.28
Ferny Creek,3786,Yarra Ranges,0.0,19.0,0.0,6.0,0.0,2.0,7.0,1.0,1.0,2.0,2000.0,4.0,105.53
Curlewis,3222,Greater Geelong,0.0,0.0,1.0,3.0,4.0,3.0,12.0,3.0,4.0,2.0,2000.0,4.0,79.77
Eynesbury,3338,Melton,0.0,0.0,1.0,5.0,0.0,3.0,3.0,1.0,1.0,2.0,2000.0,4.0,83.1
Sandhurst,3977,Frankston,0.0,7.0,11.0,4.0,7.0,5.0,9.0,6.0,10.0,2.0,2000.0,4.0,77.25
Fraser Rise,3336,Melton,1.0,5.0,13.0,3.0,6.0,5.0,12.0,9.0,16.0,22.0,1909.09,4.0,55.16
Seaholme,3018,Hobsons Bay,1.0,7.0,6.0,2.0,1.0,6.0,12.0,5.0,13.0,20.0,1727.27,4.0,90.33
Clyde North,3978,Casey,2.0,10.0,6.0,20.0,17.0,30.0,34.0,71.0,85.0,31.0,1380.95,4.0,83.37
Rosedale,3847,Wellington,1.0,4.0,7.0,10.0,7.0,1.0,4.0,11.0,8.0,16.0,1363.64,4.0,95.35
Lucknow,3875,East Gippsland,1.0,8.0,12.0,9.0,4.0,3.0,15.0,10.0,7.0,15.0,1272.73,4.0,27.66
Tyabb,3913,Mornington Peninsula,1.0,7.0,9.0,16.0,6.0,3.0,5.0,7.0,5.0,14.0,1181.82,4.0,123.35
Ashwood,3147,Monash,4.0,21.0,21.0,26.0,16.0,32.0,90.0,83.0,51.0,47.0,1048.78,4.0,81.94
Fairfield,3078,Darebin,21.0,16.0,22.0,22.0,5.0,17.0,15.0,25.0,13.0,241.0,1042.65,4.0,68.31
Lancefield,3435,Macedon Ranges,0.0,0.0,4.0,0.0,4.0,14.0,5.0,5.0,10.0,1.0,1000.0,4.0,65.56
Winter Valley,3358,Ballarat,1.0,5.0,2.0,2.0,0.0,2.0,2.0,5.0,4.0,12.0,1000.0,4.0,74.46
Strathfieldsaye,3551,Greater Bendigo,0.0,2.0,1.0,3.0,6.0,6.0,2.0,3.0,8.0,1.0,1000.0,4.0,88.33
Metung,3904,East Gippsland,0.0,0.0,5.0,2.0,1.0,3.0,14.0,10.0,2.0,1.0,1000.0,4.0,85.19
Queenscliff,3225,Queenscliffe,0.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,1000.0,4.0,196.83
Rupanyup,3388,Yarriambiack,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1000.0,4.0,193.33
Bonnie Doon,3720,Mansfield,0.0,2.0,1.0,2.0,3.0,0.0,2.0,1.0,3.0,1.0,1000.0,4.0,205.0
Neerim South,3831,Baw Baw,0.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,1000.0,4.0,39.71
Sawmill Settlement,3723,Mansfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.0,4.0,118.15
Cape Paterson,3995,Bass Coast,0.0,2.0,6.0,2.0,3.0,6.0,3.0,4.0,1.0,1.0,1000.0,4.0,181.31
Eastwood,3875,East Gippsland,0.0,4.0,2.0,12.0,0.0,3.0,8.0,6.0,6.0,1.0,1000.0,4.0,64.93
Bandiana,3691,Wodonga,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,1000.0,4.0,32.6
Derrinallum,3325,Corangamite,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1000.0,4.0,200.0
Omeo,3898,East Gippsland,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1000.0,4.0,64.29
Trentham,3458,Hepburn,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1000.0,4.0,133.13
Hepburn Springs,3461,Hepburn,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1000.0,4.0,150.0
Lismore,3324,Corangamite,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1000.0,4.0,154.55
Toongabbie,3856,Latrobe,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1000.0,4.0,124.36
Lucas,3350,Ballarat,0.0,0.0,0.0,9.0,0.0,4.0,0.0,1.0,3.0,1.0,1000.0,4.0,95.83
Edenhope,3318,West Wimmera,0.0,0.0,3.0,5.0,3.0,5.0,4.0,1.0,2.0,1.0,1000.0,4.0,0.94
Kalkallo,3064,Hume,1.0,1.0,0.0,3.0,13.0,1.0,11.0,20.0,8.0,12.0,1000.0,4.0,41.11
Maldon,3463,Mount Alexander,0.0,1.0,0.0,2.0,0.0,1.0,9.0,0.0,6.0,1.0,1000.0,4.0,120.0
Tallangatta,3701,Towong,0.0,0.0,5.0,8.0,0.0,1.0,7.0,2.0,0.0,1.0,1000.0,4.0,180.52
Rockbank,3335,Melton,1.0,3.0,4.0,15.0,2.0,4.0,6.0,19.0,7.0,11.0,909.09,4.0,94.98
Mont Albert,3127,Whitehorse,2.0,4.0,6.0,2.0,11.0,4.0,7.0,9.0,14.0,16.0,666.67,4.0,103.27
Hughesdale,3166,Monash,18.0,6.0,22.0,10.0,11.0,9.0,8.0,25.0,15.0,137.0,657.46,4.0,98.17
Sorrento,3943,Mornington Peninsula,1.0,7.0,3.0,12.0,14.0,2.0,2.0,10.0,7.0,8.0,636.36,4.0,215.13
Werribee South,3030,Wyndham,2.0,1.0,7.0,7.0,2.0,7.0,7.0,21.0,3.0,15.0,619.05,4.0,27.32
Clyde,3978,Casey,4.0,6.0,9.0,6.0,6.0,11.0,13.0,29.0,23.0,27.0,560.98,4.0,76.32
Geelong West,3218,Greater Geelong,3.0,33.0,34.0,27.0,30.0,14.0,37.0,54.0,31.0,20.0,548.39,4.0,150.0
Avenel,3664,Strathbogie,1.0,9.0,2.0,3.0,10.0,1.0,5.0,7.0,2.0,7.0,545.45,4.0,122.94
Capel Sound,3940,Mornington Peninsula,8.0,28.0,36.0,33.0,29.0,28.0,32.0,60.0,59.0,52.0,543.21,4.0,142.86
Kialla,3631,Greater Shepparton,8.0,5.0,15.0,7.0,26.0,41.0,14.0,18.0,16.0,51.0,530.86,4.0,72.92
Beveridge,3753,Mitchell,3.0,10.0,17.0,15.0,12.0,19.0,11.0,8.0,11.0,17.0,451.61,4.0,72.73
Yallourn North,3825,Latrobe,6.0,23.0,3.0,7.0,7.0,9.0,8.0,10.0,15.0,33.0,442.62,4.0,124.07
Diggers Rest,3427,Melton,6.0,6.0,11.0,16.0,8.0,2.0,7.0,19.0,23.0,32.0,426.23,4.0,134.82
Harcourt,3453,Mount Alexander,3.0,4.0,2.0,9.0,2.0,3.0,4.0,0.0,0.0,16.0,419.35,4.0,99.03
Scoresby,3179,Knox,17.0,17.0,22.0,49.0,27.0,34.0,20.0,45.0,41.0,88.0,415.2,4.0,93.03
Essendon North,3041,Moonee Valley,4.0,4.0,7.0,6.0,7.0,7.0,13.0,17.0,17.0,21.0,414.63,4.0,84.14
Dromana,3936,Mornington Peninsula,9.0,27.0,28.0,51.0,24.0,45.0,28.0,44.0,43.0,45.0,395.6,4.0,116.23
Ocean Grove,3226,Greater Geelong,5.0,14.0,10.0,15.0,34.0,14.0,23.0,32.0,14.0,24.0,372.55,4.0,145.1
Stratford,3862,Wellington,1.0,0.0,3.0,9.0,2.0,6.0,2.0,5.0,4.0,5.0,363.64,4.0,101.52
Lovely Banks,3213,Greater Geelong,1.0,0.0,2.0,10.0,6.0,3.0,12.0,10.0,15.0,5.0,363.64,4.0,111.65
Warburton,3799,Yarra Ranges,1.0,5.0,5.0,8.0,5.0,9.0,6.0,2.0,1.0,5.0,363.64,4.0,166.13
Kalorama,3766,Yarra Ranges,1.0,0.0,1.0,4.0,1.0,1.0,26.0,13.0,4.0,5.0,363.64,4.0,154.46
Mickleham,3064,Hume,7.0,9.0,18.0,22.0,10.0,17.0,27.0,45.0,28.0,32.0,352.11,4.0,212.21
Newcomb,3219,Greater Geelong,9.0,16.0,13.0,54.0,32.0,49.0,44.0,46.0,31.0,40.0,340.66,4.0,119.64
Moorabbin,3189,Kingston,26.0,54.0,63.0,38.0,72.0,61.0,112.0,113.0,66.0,106.0,306.51,4.0,111.88
Oakleigh East,3166,Monash,11.0,25.0,13.0,28.0,29.0,11.0,13.0,26.0,25.0,44.0,297.3,4.0,72.99
Boronia,3155,Knox,64.0,115.0,129.0,187.0,265.0,300.0,347.0,307.0,313.0,254.0,296.41,4.0,85.53
Heatherton,3202,Kingston,8.0,9.0,14.0,10.0,9.0,27.0,10.0,12.0,4.0,32.0,296.3,4.0,94.05
Yarragon,3823,Baw Baw,6.0,4.0,2.0,7.0,11.0,21.0,3.0,31.0,7.0,24.0,295.08,4.0,130.62
Heidelberg Heights,3081,Banyule,17.0,30.0,52.0,34.0,21.0,37.0,50.0,84.0,71.0,67.0,292.4,4.0,77.54
Huntingdale,3166,Monash,2.0,26.0,20.0,3.0,9.0,4.0,3.0,10.0,13.0,8.0,285.71,4.0,85.89
Cobblebank,3338,Melton,2.0,0.0,1.0,7.0,5.0,3.0,3.0,5.0,5.0,8.0,285.71,4.0,92.7
Portsea,3944,Mornington Peninsula,2.0,0.0,0.0,6.0,3.0,1.0,5.0,5.0,1.0,8.0,285.71,4.0,268.2
Bannockburn,3331,Golden Plains,1.0,1.0,7.0,6.0,2.0,3.0,1.0,4.0,1.0,4.0,272.73,4.0,94.59
Timboon,3268,Corangamite,1.0,0.0,2.0,3.0,0.0,4.0,0.0,1.0,3.0,4.0,272.73,4.0,150.0
Rochester,3561,Campaspe,1.0,12.0,15.0,10.0,9.0,6.0,4.0,22.0,7.0,4.0,272.73,4.0,103.17
Connewarre,3227,Greater Geelong,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,272.73,4.0,364.08
Aspendale Gardens,3195,Kingston,6.0,12.0,5.0,12.0,11.0,5.0,8.0,11.0,8.0,22.0,262.3,4.0,97.27
Harkness,3337,Melton,6.0,25.0,32.0,18.0,15.0,21.0,25.0,39.0,22.0,22.0,262.3,4.0,78.79
Burwood East,3151,Whitehorse,10.0,12.0,22.0,41.0,26.0,37.0,42.0,38.0,40.0,36.0,257.43,4.0,89.64
Roxburgh Park,3064,Hume,33.0,49.0,66.0,70.0,106.0,96.0,102.0,124.0,80.0,115.0,247.73,4.0,76.71
Mernda,3754,Whittlesea,19.0,39.0,50.0,95.0,52.0,65.0,59.0,105.0,75.0,66.0,246.07,4.0,82.0
Point Cook,3030,Wyndham,40.0,45.0,70.0,68.0,64.0,99.0,120.0,116.0,90.0,135.0,236.91,4.0,64.44
The Basin,3154,Knox,8.0,12.0,16.0,25.0,33.0,16.0,23.0,53.0,37.0,27.0,234.57,4.0,94.77
Longwarry,3816,Baw Baw,4.0,11.0,25.0,17.0,5.0,15.0,17.0,24.0,21.0,13.0,219.51,4.0,81.35
Koroit,3282,Moyne,5.0,5.0,0.0,3.0,4.0,1.0,6.0,7.0,3.0,16.0,215.69,4.0,90.55
Cranbourne North,3977,Casey,33.0,55.0,67.0,66.0,65.0,74.0,112.0,147.0,76.0,103.0,211.48,4.0,93.24
Patterson Lakes,3197,Kingston,16.0,34.0,71.0,26.0,64.0,32.0,46.0,64.0,43.0,49.0,204.97,4.0,99.61
Lakes Entrance,3909,East Gippsland,23.0,27.0,63.0,54.0,44.0,66.0,47.0,99.0,57.0,69.0,199.13,4.0,100.37
Viewbank,3084,Banyule,7.0,10.0,14.0,13.0,11.0,6.0,6.0,14.0,29.0,21.0,197.18,4.0,92.86
Reservoir,3073,Darebin,162.0,197.0,273.0,255.0,187.0,261.0,210.0,787.0,496.0,480.0,196.18,4.0,89.41
Strathdale,3550,Greater Bendigo,5.0,7.0,9.0,15.0,10.0,17.0,21.0,5.0,10.0,15.0,196.08,4.0,72.61
Soldiers Hill,3350,Ballarat,3.0,5.0,14.0,16.0,14.0,4.0,10.0,9.0,10.0,9.0,193.55,4.0,131.45
Carlton North,3054,Yarra,3.0,18.0,18.0,15.0,13.0,3.0,5.0,10.0,13.0,9.0,193.55,4.0,84.17
Korumburra,3950,South Gippsland,3.0,9.0,4.0,19.0,8.0,6.0,10.0,11.0,12.0,9.0,193.55,4.0,122.46
Mitchell Park,3355,Ballarat,2.0,0.0,0.0,3.0,4.0,2.0,4.0,0.0,3.0,6.0,190.48,4.0,107.87
Lake Wendouree,3350,Ballarat,2.0,4.0,6.0,7.0,3.0,13.0,1.0,5.0,11.0,6.0,190.48,4.0,62.85
Maffra,3860,Wellington,9.0,14.0,10.0,25.0,16.0,21.0,9.0,25.0,17.0,26.0,186.81,4.0,65.5
Wantirna,3152,Knox,53.0,21.0,51.0,64.0,110.0,85.0,91.0,97.0,127.0,152.0,186.44,4.0,91.84
Wandin North,3139,Yarra Ranges,1.0,3.0,29.0,2.0,2.0,4.0,2.0,6.0,2.0,3.0,181.82,4.0,120.86
