Year,Local Government Area,Postcode_x,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Count,locality,Postcode_y,year,Median
2013,Yarra,3067,Abbotsford,D Public order and security offences,D10 Weapons and explosives offences,31,Abbotsford,3067,2013,792500.0
2013,Yarra,3067,Abbotsford,D Public order and security offences,D20 Disorderly and offensive conduct,31,Abbotsford,3067,2013,792500.0
2013,Yarra,3067,Abbotsford,D Public order and security offences,D30 Public nuisance offences,6,Abbotsford,3067,2013,792500.0
2013,Moonee Valley,3040,Aberfeldie,D Public order and security offences,D10 Weapons and explosives offences,2,Aberfeldie,3040,2013,947500.0
2013,Melton,3336,Aintree,D Public order and security offences,D10 Weapons and explosives offences,1,Aintree,3336,2013,
2013,Surf Coast,3231,Aireys Inlet,D Public order and security offences,D20 Disorderly and offensive conduct,2,Aireys Inlet,3231,2013,664000.0
2013,Surf Coast,3231,Aireys Inlet,D Public order and security offences,D30 Public nuisance offences,1,Aireys Inlet,3231,2013,664000.0
2013,Moonee Valley,3042,Airport West,D Public order and security offences,D10 Weapons and explosives offences,19,Airport West,3042,2013,532000.0
2013,Moonee Valley,3042,Airport West,D Public order and security offences,D20 Disorderly and offensive conduct,16,Airport West,3042,2013,532000.0
2013,Moonee Valley,3042,Airport West,D Public order and security offences,D30 Public nuisance offences,8,Airport West,3042,2013,532000.0
2013,Brimbank,3021,Albanvale,D Public order and security offences,D10 Weapons and explosives offences,13,Albanvale,3021,2013,313000.0
2013,Brimbank,3021,Albanvale,D Public order and security offences,D20 Disorderly and offensive conduct,5,Albanvale,3021,2013,313000.0
2013,Port Phillip,3206,Albert Park,D Public order and security offences,D10 Weapons and explosives offences,3,Albert Park,3206,2013,1360000.0
2013,Port Phillip,3206,Albert Park,D Public order and security offences,D20 Disorderly and offensive conduct,41,Albert Park,3206,2013,1360000.0
2013,Port Phillip,3206,Albert Park,D Public order and security offences,D30 Public nuisance offences,1,Albert Park,3206,2013,1360000.0
2013,Brimbank,3020,Albion,D Public order and security offences,D10 Weapons and explosives offences,9,Albion,3020,2013,379000.0
2013,Brimbank,3020,Albion,D Public order and security offences,D20 Disorderly and offensive conduct,11,Albion,3020,2013,379000.0
2013,Brimbank,3020,Albion,D Public order and security offences,D30 Public nuisance offences,2,Albion,3020,2013,379000.0
2013,Murrindindi,3714,Alexandra,D Public order and security offences,D10 Weapons and explosives offences,9,Alexandra,3714,2013,261000.0
2013,Murrindindi,3714,Alexandra,D Public order and security offences,D20 Disorderly and offensive conduct,11,Alexandra,3714,2013,261000.0
2013,Murrindindi,3714,Alexandra,D Public order and security offences,D30 Public nuisance offences,2,Alexandra,3714,2013,261000.0
2013,Ballarat,3350,Alfredton,D Public order and security offences,D10 Weapons and explosives offences,5,Alfredton,3350,2013,361500.0
2013,Ballarat,3350,Alfredton,D Public order and security offences,D20 Disorderly and offensive conduct,12,Alfredton,3350,2013,361500.0
2013,Ballarat,3350,Alfredton,D Public order and security offences,D30 Public nuisance offences,1,Alfredton,3350,2013,361500.0
2013,Moyne,3277,Allansford,D Public order and security offences,D10 Weapons and explosives offences,1,Allansford,3277,2013,310000.0
2013,Warrnambool,3277,Allansford,D Public order and security offences,D10 Weapons and explosives offences,1,Allansford,3277,2013,310000.0
2013,Darebin,3078,Alphington,D Public order and security offences,D10 Weapons and explosives offences,1,Alphington,3078,2013,1080000.0
2013,Darebin,3078,Alphington,D Public order and security offences,D20 Disorderly and offensive conduct,2,Alphington,3078,2013,1080000.0
2013,Yarra,3078,Alphington,D Public order and security offences,D30 Public nuisance offences,1,Alphington,3078,2013,1080000.0
2013,Hobsons Bay,3018,Altona,D Public order and security offences,D10 Weapons and explosives offences,22,Altona,3018,2013,575000.0
2013,Hobsons Bay,3018,Altona,D Public order and security offences,D20 Disorderly and offensive conduct,38,Altona,3018,2013,575000.0
2013,Hobsons Bay,3018,Altona,D Public order and security offences,D30 Public nuisance offences,1,Altona,3018,2013,575000.0
2013,Hobsons Bay,3028,Altona Meadows,D Public order and security offences,D10 Weapons and explosives offences,44,Altona Meadows,3028,2013,390000.0
2013,Hobsons Bay,3028,Altona Meadows,D Public order and security offences,D20 Disorderly and offensive conduct,14,Altona Meadows,3028,2013,390000.0
2013,Hobsons Bay,3025,Altona North,D Public order and security offences,D10 Weapons and explosives offences,27,Altona North,3025,2013,510000.0
2013,Hobsons Bay,3025,Altona North,D Public order and security offences,D20 Disorderly and offensive conduct,20,Altona North,3025,2013,510000.0
2013,Hobsons Bay,3025,Altona North,D Public order and security offences,D30 Public nuisance offences,3,Altona North,3025,2013,510000.0
2013,Surf Coast,3230,Anglesea,D Public order and security offences,D20 Disorderly and offensive conduct,9,Anglesea,3230,2013,550000.0
2013,Surf Coast,3230,Anglesea,D Public order and security offences,D30 Public nuisance offences,6,Anglesea,3230,2013,550000.0
2013,Colac-Otway,3233,Apollo Bay,D Public order and security offences,D10 Weapons and explosives offences,2,Apollo Bay,3233,2013,450000.0
2013,Colac-Otway,3233,Apollo Bay,D Public order and security offences,D20 Disorderly and offensive conduct,4,Apollo Bay,3233,2013,450000.0
2013,Ararat,3377,Ararat,D Public order and security offences,D10 Weapons and explosives offences,24,Ararat,3377,2013,180000.0
2013,Ararat,3377,Ararat,D Public order and security offences,D20 Disorderly and offensive conduct,88,Ararat,3377,2013,180000.0
2013,Ararat,3377,Ararat,D Public order and security offences,D30 Public nuisance offences,17,Ararat,3377,2013,180000.0
2013,Brimbank,3022,Ardeer,D Public order and security offences,D10 Weapons and explosives offences,39,Ardeer,3022,2013,330000.0
2013,Brimbank,3022,Ardeer,D Public order and security offences,D20 Disorderly and offensive conduct,5,Ardeer,3022,2013,330000.0
2013,Stonnington,3143,Armadale,D Public order and security offences,D10 Weapons and explosives offences,7,Armadale,3143,2013,1675000.0
