Suburb/Town Name,Postcode,Local Government Area,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,%_crime_change,crime_quartile,%_property_incr
Tooradin,3980,Casey,0.0,8.0,1.0,3.0,4.0,6.0,18.0,13.0,20.0,21.0,21000.0,4.0,62.98
Clyde,3978,Casey,0.0,6.0,3.0,4.0,4.0,11.0,15.0,25.0,17.0,20.0,20000.0,4.0,76.32
Armstrong Creek,3217,Greater Geelong,0.0,0.0,2.0,4.0,5.0,4.0,10.0,20.0,7.0,14.0,14000.0,4.0,54.22
Cobblebank,3338,Melton,0.0,0.0,0.0,9.0,4.0,9.0,2.0,6.0,1.0,12.0,12000.0,4.0,92.7
Eureka,3350,Ballarat,0.0,2.0,1.0,1.0,3.0,0.0,1.0,2.0,2.0,11.0,11000.0,4.0,119.71
Strathtulloh,3338,Melton,0.0,1.0,1.0,5.0,3.0,0.0,4.0,6.0,11.0,9.0,9000.0,4.0,83.57
Rippleside,3215,Greater Geelong,0.0,1.0,1.0,4.0,3.0,4.0,1.0,2.0,2.0,8.0,8000.0,4.0,55.56
Fyansford,3218,Greater Geelong,0.0,2.0,1.0,6.0,2.0,3.0,4.0,2.0,12.0,7.0,7000.0,4.0,154.85
Nyah West,3595,Swan Hill,0.0,17.0,11.0,1.0,5.0,2.0,14.0,3.0,9.0,6.0,6000.0,4.0,122.34
Badger Creek,3777,Yarra Ranges,0.0,0.0,2.0,0.0,2.0,1.0,12.0,4.0,0.0,6.0,6000.0,4.0,122.22
Ferny Creek,3786,Yarra Ranges,0.0,13.0,0.0,0.0,1.0,3.0,7.0,0.0,1.0,6.0,6000.0,4.0,105.53
Botanic Ridge,3977,Casey,0.0,0.0,3.0,0.0,12.0,0.0,9.0,2.0,4.0,5.0,5000.0,4.0,77.85
Rawson,3825,Baw Baw,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0,5.0,5000.0,4.0,80.69
Jackass Flat,3556,Greater Bendigo,0.0,4.0,4.0,0.0,8.0,8.0,2.0,0.0,5.0,5.0,5000.0,4.0,88.7
Toongabbie,3856,Latrobe,0.0,4.0,1.0,3.0,2.0,4.0,13.0,4.0,0.0,4.0,4000.0,4.0,124.36
Jeparit,3423,Hindmarsh,0.0,5.0,5.0,2.0,8.0,4.0,5.0,1.0,10.0,4.0,4000.0,4.0,80.12
Brown Hill,3350,Ballarat,0.0,3.0,4.0,0.0,4.0,13.0,3.0,3.0,9.0,4.0,4000.0,4.0,103.23
Deepdene,3103,Boroondara,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,3.0,3000.0,4.0,68.0
Leneva,3691,Wodonga,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,3000.0,4.0,75.66
Fraser Rise,3336,Melton,1.0,3.0,4.0,7.0,2.0,2.0,13.0,7.0,10.0,34.0,3000.0,4.0,55.16
Lismore,3324,Corangamite,0.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,3.0,3000.0,4.0,154.55
Curlewis,3222,Greater Geelong,0.0,1.0,0.0,0.0,4.0,9.0,12.0,4.0,13.0,3.0,3000.0,4.0,79.77
Corinella,3984,Bass Coast,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,3000.0,4.0,351.67
Carisbrook,3464,Central Goldfields,1.0,3.0,27.0,13.0,10.0,7.0,4.0,9.0,3.0,28.0,2454.55,4.0,154.0
Kalkallo,3064,Hume,1.0,3.0,1.0,8.0,3.0,8.0,16.0,11.0,8.0,24.0,2090.91,4.0,41.11
Sandhurst,3977,Frankston,0.0,0.0,11.0,6.0,3.0,2.0,11.0,3.0,2.0,2.0,2000.0,4.0,77.25
Raymond Island,3880,East Gippsland,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2000.0,4.0,46.05
Gordon,3345,Moorabool,0.0,2.0,1.0,3.0,4.0,4.0,0.0,5.0,0.0,2.0,2000.0,4.0,267.15
Minyip,3392,Yarriambiack,0.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,4.0,2.0,2000.0,4.0,95.92
Violet Town,3669,Strathbogie,0.0,0.0,3.0,4.0,2.0,4.0,0.0,3.0,3.0,2.0,2000.0,4.0,47.67
Leitchville,3567,Gannawarra,0.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,2000.0,4.0,201.02
Poowong,3988,South Gippsland,0.0,0.0,1.0,0.0,6.0,5.0,2.0,1.0,0.0,2.0,2000.0,4.0,130.23
Skenes Creek,3233,Colac-Otway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2000.0,4.0,82.8
Nichols Point,3501,Mildura,0.0,0.0,5.0,19.0,6.0,6.0,1.0,6.0,2.0,2.0,2000.0,4.0,57.98
Weir Views,3338,Melton,1.0,1.0,0.0,1.0,5.0,2.0,16.0,26.0,13.0,20.0,1727.27,4.0,81.22
Williams Landing,3027,Wyndham,1.0,8.0,10.0,16.0,12.0,32.0,12.0,26.0,11.0,18.0,1545.45,4.0,70.74
Murtoa,3390,Yarriambiack,1.0,39.0,14.0,9.0,10.0,17.0,9.0,2.0,9.0,16.0,1363.64,4.0,68.42
Coldstream,3770,Yarra Ranges,1.0,8.0,7.0,7.0,15.0,3.0,9.0,7.0,5.0,14.0,1181.82,4.0,107.79
St Andrews Beach,3941,Mornington Peninsula,0.0,12.0,1.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,1000.0,4.0,232.29
Surf Beach,3922,Bass Coast,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1000.0,4.0,106.0
