Year,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Count,Median
2013,Yarra,3067,Abbotsford,E Justice procedures offences,E10 Justice procedures,17,792500.0
2013,Yarra,3067,Abbotsford,E Justice procedures offences,E20 Breaches of orders,3,792500.0
2014,Yarra,3067,Abbotsford,E Justice procedures offences,E10 Justice procedures,13,862500.0
2014,Yarra,3067,Abbotsford,E Justice procedures offences,E20 Breaches of orders,73,862500.0
2015,Yarra,3067,Abbotsford,E Justice procedures offences,E10 Justice procedures,16,925000.0
2015,Yarra,3067,Abbotsford,E Justice procedures offences,E20 Breaches of orders,107,925000.0
2016,Yarra,3067,Abbotsford,E Justice procedures offences,E10 Justice procedures,16,1187500.0
2016,Yarra,3067,Abbotsford,E Justice procedures offences,E20 Breaches of orders,33,1187500.0
2017,Yarra,3067,Abbotsford,E Justice procedures offences,E10 Justice procedures,21,1280000.0
2017,Yarra,3067,Abbotsford,E Justice procedures offences,E20 Breaches of orders,105,1280000.0
2018,Yarra,3067,Abbotsford,E Justice procedures offences,E10 Justice procedures,16,1192500.0
2018,Yarra,3067,Abbotsford,E Justice procedures offences,E20 Breaches of orders,98,1192500.0
2019,Yarra,3067,Abbotsford,E Justice procedures offences,E10 Justice procedures,22,1050000.0
2019,Yarra,3067,Abbotsford,E Justice procedures offences,E20 Breaches of orders,47,1050000.0
2020,Yarra,3067,Abbotsford,E Justice procedures offences,E10 Justice procedures,17,1200000.0
2020,Yarra,3067,Abbotsford,E Justice procedures offences,E20 Breaches of orders,56,1200000.0
2021,Yarra,3067,Abbotsford,E Justice procedures offences,E10 Justice procedures,29,1375000.0
2021,Yarra,3067,Abbotsford,E Justice procedures offences,E20 Breaches of orders,82,1375000.0
2022,Yarra,3067,Abbotsford,E Justice procedures offences,E10 Justice procedures,14,1517500.0
2022,Yarra,3067,Abbotsford,E Justice procedures offences,E20 Breaches of orders,70,1517500.0
2013,Moonee Valley,3040,Aberfeldie,E Justice procedures offences,E10 Justice procedures,2,947500.0
2013,Moonee Valley,3040,Aberfeldie,E Justice procedures offences,E20 Breaches of orders,4,947500.0
2014,Moonee Valley,3040,Aberfeldie,E Justice procedures offences,E20 Breaches of orders,21,1045000.0
2015,Moonee Valley,3040,Aberfeldie,E Justice procedures offences,E20 Breaches of orders,23,1207500.0
2016,Moonee Valley,3040,Aberfeldie,E Justice procedures offences,E10 Justice procedures,5,1300000.0
2016,Moonee Valley,3040,Aberfeldie,E Justice procedures offences,E20 Breaches of orders,12,1300000.0
2017,Moonee Valley,3040,Aberfeldie,E Justice procedures offences,E10 Justice procedures,1,1471000.0
2017,Moonee Valley,3040,Aberfeldie,E Justice procedures offences,E20 Breaches of orders,38,1471000.0
2018,Moonee Valley,3040,Aberfeldie,E Justice procedures offences,E10 Justice procedures,1,1498500.0
2018,Moonee Valley,3040,Aberfeldie,E Justice procedures offences,E20 Breaches of orders,7,1498500.0
2019,Moonee Valley,3040,Aberfeldie,E Justice procedures offences,E20 Breaches of orders,16,1390000.0
2020,Moonee Valley,3040,Aberfeldie,E Justice procedures offences,E10 Justice procedures,3,1520000.0
2020,Moonee Valley,3040,Aberfeldie,E Justice procedures offences,E20 Breaches of orders,21,1520000.0
2021,Moonee Valley,3040,Aberfeldie,E Justice procedures offences,E20 Breaches of orders,20,1880500.0
2022,Moonee Valley,3040,Aberfeldie,E Justice procedures offences,E10 Justice procedures,1,1575000.0
2022,Moonee Valley,3040,Aberfeldie,E Justice procedures offences,E20 Breaches of orders,10,1575000.0
2015,Melton,3336,Aintree,E Justice procedures offences,E10 Justice procedures,1,600000.0
2017,Melton,3336,Aintree,E Justice procedures offences,E20 Breaches of orders,2,571000.0
2018,Melton,3336,Aintree,E Justice procedures offences,E10 Justice procedures,1,557500.0
2018,Melton,3336,Aintree,E Justice procedures offences,E20 Breaches of orders,3,557500.0
2019,Melton,3336,Aintree,E Justice procedures offences,E20 Breaches of orders,6,575000.0
2020,Melton,3336,Aintree,E Justice procedures offences,E10 Justice procedures,4,640000.0
2020,Melton,3336,Aintree,E Justice procedures offences,E20 Breaches of orders,66,640000.0
2021,Melton,3336,Aintree,E Justice procedures offences,E10 Justice procedures,2,719000.0
2021,Melton,3336,Aintree,E Justice procedures offences,E20 Breaches of orders,28,719000.0
2022,Melton,3336,Aintree,E Justice procedures offences,E10 Justice procedures,4,760000.0
2022,Melton,3336,Aintree,E Justice procedures offences,E20 Breaches of orders,19,760000.0
2013,Surf Coast,3231,Aireys Inlet,E Justice procedures offences,E20 Breaches of orders,2,664000.0
2014,Surf Coast,3231,Aireys Inlet,E Justice procedures offences,E10 Justice procedures,1,625500.0
2014,Surf Coast,3231,Aireys Inlet,E Justice procedures offences,E20 Breaches of orders,4,625500.0
2015,Surf Coast,3231,Aireys Inlet,E Justice procedures offences,E20 Breaches of orders,2,680000.0
2016,Surf Coast,3231,Aireys Inlet,E Justice procedures offences,E20 Breaches of orders,2,715000.0
2018,Surf Coast,3231,Aireys Inlet,E Justice procedures offences,E10 Justice procedures,1,869000.0
2018,Surf Coast,3231,Aireys Inlet,E Justice procedures offences,E20 Breaches of orders,1,869000.0
2019,Surf Coast,3231,Aireys Inlet,E Justice procedures offences,E20 Breaches of orders,1,985000.0
2020,Surf Coast,3231,Aireys Inlet,E Justice procedures offences,E20 Breaches of orders,3,1132500.0
2022,Surf Coast,3231,Aireys Inlet,E Justice procedures offences,E20 Breaches of orders,9,1750000.0
2013,Moonee Valley,3042,Airport West,E Justice procedures offences,E10 Justice procedures,6,532000.0
2013,Moonee Valley,3042,Airport West,E Justice procedures offences,E20 Breaches of orders,15,532000.0
2014,Moonee Valley,3042,Airport West,E Justice procedures offences,E10 Justice procedures,5,575000.0
2014,Moonee Valley,3042,Airport West,E Justice procedures offences,E20 Breaches of orders,43,575000.0
2015,Moonee Valley,3042,Airport West,E Justice procedures offences,E10 Justice procedures,12,635000.0
2015,Moonee Valley,3042,Airport West,E Justice procedures offences,E20 Breaches of orders,37,635000.0
2016,Moonee Valley,3042,Airport West,E Justice procedures offences,E10 Justice procedures,21,742000.0
2016,Moonee Valley,3042,Airport West,E Justice procedures offences,E20 Breaches of orders,27,742000.0
2017,Moonee Valley,3042,Airport West,E Justice procedures offences,E10 Justice procedures,26,845000.0
2017,Moonee Valley,3042,Airport West,E Justice procedures offences,E20 Breaches of orders,64,845000.0
2018,Moonee Valley,3042,Airport West,E Justice procedures offences,E10 Justice procedures,23,845000.0
2018,Moonee Valley,3042,Airport West,E Justice procedures offences,E20 Breaches of orders,52,845000.0
2019,Moonee Valley,3042,Airport West,E Justice procedures offences,E10 Justice procedures,25,795000.0
2019,Moonee Valley,3042,Airport West,E Justice procedures offences,E20 Breaches of orders,89,795000.0
2020,Moonee Valley,3042,Airport West,E Justice procedures offences,E10 Justice procedures,10,812500.0
2020,Moonee Valley,3042,Airport West,E Justice procedures offences,E20 Breaches of orders,75,812500.0
2021,Moonee Valley,3042,Airport West,E Justice procedures offences,E10 Justice procedures,8,960000.0
2021,Moonee Valley,3042,Airport West,E Justice procedures offences,E20 Breaches of orders,49,960000.0
