Suburb/Town Name,Postcode,Local Government Area,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,%_crime_change,crime_quartile,%_property_incr
Cobblebank,3338,Melton,0.0,2.0,0.0,9.0,4.0,16.0,30.0,16.0,17.0,121.0,121000.0,4.0,92.7
Weir Views,3338,Melton,0.0,1.0,2.0,4.0,15.0,13.0,36.0,33.0,71.0,87.0,87000.0,4.0,81.22
Armstrong Creek,3217,Greater Geelong,0.0,0.0,9.0,10.0,19.0,45.0,86.0,59.0,64.0,86.0,86000.0,4.0,54.22
Curlewis,3222,Greater Geelong,0.0,0.0,3.0,5.0,15.0,17.0,24.0,23.0,23.0,79.0,79000.0,4.0,79.77
Kinglake,3763,Murrindindi,0.0,2.0,7.0,4.0,6.0,1.0,28.0,13.0,14.0,56.0,56000.0,4.0,141.67
Fraser Rise,3336,Melton,0.0,2.0,2.0,7.0,4.0,10.0,51.0,45.0,21.0,40.0,40000.0,4.0,55.16
Clyde North,3978,Casey,1.0,76.0,25.0,53.0,80.0,55.0,109.0,137.0,213.0,420.0,38090.91,4.0,83.37
Kalkallo,3064,Hume,0.0,0.0,13.0,1.0,5.0,18.0,30.0,40.0,25.0,35.0,35000.0,4.0,41.11
Notting Hill,3168,Monash,0.0,6.0,3.0,12.0,16.0,11.0,5.0,41.0,14.0,30.0,30000.0,4.0,115.36
Winter Valley,3358,Ballarat,0.0,4.0,13.0,11.0,15.0,3.0,10.0,20.0,11.0,30.0,30000.0,4.0,74.46
Jackass Flat,3556,Greater Bendigo,0.0,3.0,22.0,16.0,19.0,21.0,13.0,34.0,89.0,30.0,30000.0,4.0,88.7
Venus Bay,3956,South Gippsland,0.0,0.0,5.0,8.0,3.0,2.0,4.0,2.0,6.0,25.0,25000.0,4.0,171.75
Lucas,3350,Ballarat,0.0,1.0,14.0,8.0,26.0,5.0,3.0,4.0,46.0,25.0,25000.0,4.0,95.83
Rutherglen,3685,Indigo,0.0,3.0,4.0,17.0,4.0,11.0,19.0,10.0,9.0,24.0,24000.0,4.0,111.21
Strathmore Heights,3041,Moonee Valley,0.0,4.0,7.0,5.0,9.0,0.0,2.0,1.0,3.0,23.0,23000.0,4.0,83.17
Corinella,3984,Bass Coast,0.0,3.0,7.0,6.0,10.0,2.0,3.0,52.0,21.0,22.0,22000.0,4.0,351.67
Dalyston,3992,Bass Coast,0.0,6.0,11.0,7.0,9.0,6.0,4.0,22.0,20.0,21.0,21000.0,4.0,131.63
Park Orchards,3114,Manningham,0.0,2.0,8.0,7.0,10.0,2.0,6.0,5.0,24.0,20.0,20000.0,4.0,135.17
Lorne,3232,Surf Coast,0.0,18.0,7.0,2.0,3.0,19.0,9.0,5.0,10.0,16.0,16000.0,4.0,72.02
Lake Gardens,3355,Ballarat,0.0,9.0,20.0,5.0,2.0,2.0,3.0,10.0,4.0,16.0,16000.0,4.0,69.66
Porepunkah,3740,Alpine,0.0,0.0,1.0,5.0,0.0,1.0,7.0,4.0,38.0,16.0,16000.0,4.0,201.87
Kilcunda,3995,Bass Coast,0.0,9.0,1.0,7.0,6.0,9.0,0.0,4.0,4.0,15.0,15000.0,4.0,116.0
Wahgunyah,3687,Indigo,0.0,1.0,0.0,1.0,4.0,3.0,7.0,5.0,25.0,14.0,14000.0,4.0,83.95
Elmore,3558,Greater Bendigo,0.0,0.0,4.0,11.0,24.0,9.0,6.0,5.0,5.0,11.0,11000.0,4.0,125.54
Donald,3480,Buloke,0.0,2.0,4.0,1.0,2.0,2.0,7.0,5.0,12.0,11.0,11000.0,4.0,60.71
Barnawartha,3688,Indigo,0.0,18.0,4.0,2.0,2.0,2.0,2.0,0.0,5.0,11.0,11000.0,4.0,65.31
Jamieson,3723,Mansfield,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,10.0,10000.0,4.0,234.63
Meeniyan,3956,South Gippsland,0.0,2.0,1.0,4.0,3.0,4.0,2.0,7.0,12.0,10.0,10000.0,4.0,291.96
Birregurra,3242,Colac-Otway,0.0,0.0,3.0,3.0,12.0,10.0,1.0,7.0,8.0,8.0,8000.0,4.0,216.67
Toongabbie,3856,Latrobe,0.0,1.0,4.0,4.0,11.0,8.0,16.0,7.0,1.0,8.0,8000.0,4.0,124.36
Wattle Glen,3096,Nillumbik,0.0,6.0,3.0,5.0,12.0,15.0,14.0,4.0,3.0,7.0,7000.0,4.0,88.42
Kaniva,3419,West Wimmera,0.0,3.0,1.0,3.0,16.0,5.0,7.0,3.0,6.0,7.0,7000.0,4.0,68.0
Rippleside,3215,Greater Geelong,0.0,1.0,0.0,2.0,58.0,7.0,4.0,17.0,3.0,7.0,7000.0,4.0,55.56
Deepdene,3103,Boroondara,0.0,0.0,2.0,9.0,5.0,1.0,1.0,6.0,3.0,7.0,7000.0,4.0,68.0
Fyansford,3218,Greater Geelong,0.0,2.0,7.0,7.0,6.0,4.0,1.0,4.0,4.0,6.0,6000.0,4.0,154.85
Loch Sport,3851,Wellington,0.0,15.0,4.0,5.0,18.0,17.0,33.0,25.0,21.0,6.0,6000.0,4.0,151.51
Point Lonsdale,3225,Queenscliffe,0.0,2.0,1.0,8.0,0.0,7.0,1.0,4.0,3.0,6.0,6000.0,4.0,112.14
Mirboo North,3871,South Gippsland,2.0,8.0,8.0,16.0,35.0,33.0,34.0,8.0,13.0,127.0,5952.38,4.0,134.34
Plenty,3093,Nillumbik,0.0,14.0,2.0,32.0,15.0,4.0,5.0,6.0,20.0,5.0,5000.0,4.0,106.99
Sea Lake,3533,Buloke,0.0,1.0,1.0,7.0,0.0,0.0,0.0,4.0,5.0,5.0,5000.0,4.0,100.0
Stratford,3862,Wellington,1.0,16.0,4.0,4.0,15.0,18.0,30.0,45.0,35.0,51.0,4545.45,4.0,101.52
Indented Head,3223,Greater Geelong,0.0,1.0,1.0,4.0,6.0,4.0,7.0,1.0,9.0,4.0,4000.0,4.0,124.36
Trentham,3458,Hepburn,0.0,4.0,4.0,11.0,2.0,1.0,6.0,3.0,4.0,4.0,4000.0,4.0,133.13
Rupanyup,3388,Yarriambiack,0.0,1.0,7.0,4.0,4.0,1.0,11.0,13.0,5.0,4.0,4000.0,4.0,193.33
Omeo,3898,East Gippsland,0.0,1.0,6.0,2.0,1.0,7.0,2.0,2.0,1.0,4.0,4000.0,4.0,64.29
Portland North,3305,Glenelg,0.0,1.0,2.0,3.0,0.0,1.0,6.0,2.0,2.0,4.0,4000.0,4.0,-1.67
Fairhaven,3231,Surf Coast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4000.0,4.0,246.75
Officer,3809,Cardinia,4.0,18.0,42.0,66.0,43.0,133.0,123.0,104.0,199.0,155.0,3682.93,4.0,110.53
Burnside,3023,Melton,2.0,7.0,19.0,24.0,68.0,26.0,33.0,24.0,45.0,66.0,3047.62,4.0,93.46
Skenes Creek,3233,Colac-Otway,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5.0,3.0,3000.0,4.0,82.8
Raymond Island,3880,East Gippsland,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,14.0,3.0,3000.0,4.0,46.05
Lake Bunga,3909,East Gippsland,0.0,3.0,7.0,1.0,0.0,2.0,8.0,25.0,2.0,3.0,3000.0,4.0,320.0
Tallangatta,3701,Towong,0.0,2.0,6.0,21.0,5.0,2.0,8.0,12.0,5.0,3.0,3000.0,4.0,180.52
Mount Beauty,3699,Alpine,0.0,2.0,0.0,3.0,2.0,6.0,0.0,2.0,12.0,3.0,3000.0,4.0,222.22
Marysville,3779,Murrindindi,0.0,0.0,0.0,2.0,3.0,7.0,4.0,9.0,3.0,3.0,3000.0,4.0,444.44
Strathtulloh,3338,Melton,1.0,0.0,0.0,13.0,18.0,2.0,14.0,9.0,49.0,33.0,2909.09,4.0,83.57
Stanhope,3623,Campaspe,1.0,7.0,9.0,3.0,9.0,12.0,39.0,15.0,23.0,28.0,2454.55,4.0,48.33
Beveridge,3753,Mitchell,2.0,7.0,6.0,13.0,32.0,11.0,53.0,70.0,123.0,51.0,2333.33,4.0,72.73
Miners Rest,3352,Ballarat,1.0,7.0,4.0,21.0,2.0,7.0,28.0,33.0,32.0,25.0,2181.82,4.0,98.48
Buninyong,3357,Ballarat,1.0,3.0,25.0,37.0,11.0,20.0,14.0,7.0,7.0,25.0,2181.82,4.0,115.52
Lysterfield,3156,Knox,1.0,2.0,12.0,15.0,7.0,13.0,14.0,21.0,35.0,25.0,2181.82,4.0,71.09
Yarra Glen,3775,Yarra Ranges,1.0,1.0,10.0,3.0,18.0,55.0,51.0,19.0,22.0,24.0,2090.91,4.0,82.14
Badger Creek,3777,Yarra Ranges,1.0,2.0,6.0,1.0,6.0,6.0,12.0,10.0,23.0,24.0,2090.91,4.0,122.22
Eastwood,3875,East Gippsland,2.0,9.0,7.0,15.0,9.0,17.0,26.0,18.0,32.0,45.0,2047.62,4.0,64.93
Foster,3960,South Gippsland,1.0,5.0,0.0,8.0,20.0,4.0,9.0,26.0,9.0,23.0,2000.0,4.0,66.11
Queenscliff,3225,Queenscliffe,0.0,0.0,5.0,7.0,8.0,6.0,1.0,11.0,0.0,2.0,2000.0,4.0,196.83
Invermay Park,3350,Ballarat,0.0,5.0,2.0,11.0,7.0,3.0,9.0,5.0,11.0,2.0,2000.0,4.0,91.8
Sunderland Bay,3922,Bass Coast,0.0,7.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2000.0,4.0,219.72
Waterways,3195,Kingston,0.0,2.0,3.0,3.0,3.0,3.0,4.0,8.0,4.0,2.0,2000.0,4.0,90.48
Bandiana,3691,Wodonga,0.0,1.0,2.0,4.0,2.0,10.0,7.0,0.0,2.0,2.0,2000.0,4.0,32.6
Boort,3537,Loddon,0.0,5.0,0.0,0.0,0.0,23.0,2.0,1.0,11.0,2.0,2000.0,4.0,36.51
Wollert,3750,Whittlesea,7.0,2.0,20.0,33.0,85.0,53.0,75.0,155.0,108.0,143.0,1915.49,4.0,76.25
Truganina,3029,Wyndham,13.0,75.0,90.0,155.0,140.0,131.0,214.0,285.0,155.0,260.0,1885.5,4.0,81.94
Williams Landing,3027,Wyndham,2.0,29.0,9.0,12.0,14.0,29.0,37.0,41.0,55.0,41.0,1857.14,4.0,70.74
Darley,3340,Moorabool,7.0,13.0,24.0,53.0,68.0,110.0,129.0,81.0,58.0,137.0,1830.99,4.0,107.26
Clunes,3370,Hepburn,1.0,3.0,3.0,15.0,2.0,6.0,6.0,11.0,8.0,21.0,1818.18,4.0,132.88
Mount Helen,3350,Ballarat,1.0,3.0,2.0,5.0,15.0,3.0,3.0,9.0,17.0,21.0,1818.18,4.0,78.78
Jan Juc,3228,Surf Coast,1.0,12.0,11.0,9.0,1.0,6.0,8.0,12.0,14.0,21.0,1818.18,4.0,137.39
Maiden Gully,3551,Greater Bendigo,2.0,9.0,7.0,18.0,25.0,30.0,17.0,15.0,18.0,39.0,1761.9,4.0,70.45
Clyde,3978,Casey,4.0,13.0,58.0,29.0,48.0,11.0,62.0,107.0,91.0,72.0,1658.54,4.0,76.32
Glen Huntly,3163,Glen Eira,2.0,9.0,10.0,19.0,26.0,11.0,19.0,36.0,26.0,35.0,1571.43,4.0,-15.7
Waurn Ponds,3216,Greater Geelong,4.0,14.0,25.0,12.0,12.0,15.0,45.0,75.0,73.0,65.0,1487.8,4.0,80.85
Wy Yung,3875,East Gippsland,2.0,3.0,1.0,9.0,13.0,26.0,19.0,19.0,35.0,33.0,1476.19,4.0,38.6
Barwon Heads,3227,Greater Geelong,1.0,0.0,6.0,21.0,17.0,15.0,21.0,22.0,12.0,17.0,1454.55,4.0,124.58
Beaconsfield Upper,3808,Cardinia,1.0,10.0,10.0,1.0,5.0,4.0,4.0,9.0,2.0,17.0,1454.55,4.0,156.38
Elsternwick,3185,Glen Eira,5.0,13.0,20.0,39.0,59.0,24.0,71.0,42.0,76.0,77.0,1411.76,4.0,63.66
Eltham North,3095,Nillumbik,1.0,18.0,10.0,66.0,8.0,11.0,15.0,23.0,13.0,16.0,1363.64,4.0,67.52
Avenel,3664,Strathbogie,1.0,3.0,21.0,7.0,2.0,6.0,20.0,5.0,6.0,16.0,1363.64,4.0,122.94
Burnley,3121,Yarra,3.0,2.0,4.0,5.0,5.0,17.0,11.0,19.0,20.0,45.0,1354.84,4.0,121.29
Kalimna,3909,East Gippsland,4.0,2.0,7.0,3.0,5.0,18.0,4.0,16.0,37.0,59.0,1341.46,4.0,156.09
Mount Clear,3350,Ballarat,2.0,18.0,26.0,20.0,23.0,19.0,19.0,44.0,32.0,29.0,1285.71,4.0,105.07
Toora,3962,South Gippsland,2.0,5.0,7.0,7.0,1.0,4.0,14.0,1.0,34.0,29.0,1285.71,4.0,255.69
Baranduda,3691,Wodonga,1.0,4.0,2.0,2.0,11.0,17.0,1.0,0.0,19.0,15.0,1272.73,4.0,97.97
Traralgon East,3844,Latrobe,1.0,0.0,0.0,5.0,7.0,16.0,7.0,12.0,27.0,15.0,1272.73,4.0,36.21
Murtoa,3390,Yarriambiack,1.0,7.0,10.0,21.0,6.0,59.0,1.0,12.0,4.0,15.0,1272.73,4.0,68.42
Yarram,3971,Wellington,8.0,27.0,26.0,53.0,32.0,38.0,51.0,64.0,46.0,108.0,1234.57,4.0,138.16
Numurkah,3636,Moira,11.0,22.0,19.0,17.0,33.0,46.0,122.0,172.0,232.0,146.0,1216.22,4.0,97.44
Macedon,3440,Macedon Ranges,3.0,12.0,8.0,20.0,34.0,11.0,24.0,12.0,9.0,40.0,1193.55,4.0,93.88
Nagambie,3608,Strathbogie,3.0,6.0,28.0,45.0,12.0,11.0,7.0,35.0,93.0,40.0,1193.55,4.0,124.0
Paynesville,3880,East Gippsland,5.0,9.0,9.0,40.0,50.0,35.0,23.0,55.0,60.0,64.0,1156.86,4.0,92.58
Lyndhurst,3975,Casey,4.0,18.0,22.0,34.0,37.0,16.0,23.0,51.0,83.0,49.0,1097.56,4.0,104.09
Olinda,3788,Yarra Ranges,2.0,1.0,0.0,1.0,2.0,9.0,4.0,10.0,6.0,25.0,1095.24,4.0,89.21
