Year,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Count,Median
2013,Yarra,3067,Abbotsford,F Other offences,F30 Other government regulatory offences,102,792500.0
2015,Yarra,3067,Abbotsford,F Other offences,F90 Miscellaneous offences,1,925000.0
2018,Yarra,3067,Abbotsford,F Other offences,F20 Transport regulation offences,2,1192500.0
2019,Yarra,3067,Abbotsford,F Other offences,F20 Transport regulation offences,2,1050000.0
2019,Yarra,3067,Abbotsford,F Other offences,F90 Miscellaneous offences,1,1050000.0
2020,Yarra,3067,Abbotsford,F Other offences,F30 Other government regulatory offences,1,1200000.0
2020,Yarra,3067,Abbotsford,F Other offences,F90 Miscellaneous offences,128,1200000.0
2021,Yarra,3067,Abbotsford,F Other offences,F90 Miscellaneous offences,31,1375000.0
2022,Yarra,3067,Abbotsford,F Other offences,F20 Transport regulation offences,2,1517500.0
2022,Yarra,3067,Abbotsford,F Other offences,F30 Other government regulatory offences,1,1517500.0
2022,Yarra,3067,Abbotsford,F Other offences,F90 Miscellaneous offences,1,1517500.0
2015,Moonee Valley,3040,Aberfeldie,F Other offences,F30 Other government regulatory offences,1,1207500.0
2018,Moonee Valley,3040,Aberfeldie,F Other offences,F30 Other government regulatory offences,1,1498500.0
2020,Moonee Valley,3040,Aberfeldie,F Other offences,F90 Miscellaneous offences,6,1520000.0
2021,Moonee Valley,3040,Aberfeldie,F Other offences,F90 Miscellaneous offences,1,1880500.0
2020,Melton,3336,Aintree,F Other offences,F90 Miscellaneous offences,11,640000.0
2020,Surf Coast,3231,Aireys Inlet,F Other offences,F90 Miscellaneous offences,4,1132500.0
2015,Moonee Valley,3042,Airport West,F Other offences,F90 Miscellaneous offences,1,635000.0
2018,Moonee Valley,3042,Airport West,F Other offences,F90 Miscellaneous offences,4,845000.0
2020,Moonee Valley,3042,Airport West,F Other offences,F90 Miscellaneous offences,48,812500.0
2021,Moonee Valley,3042,Airport West,F Other offences,F20 Transport regulation offences,1,960000.0
2021,Moonee Valley,3042,Airport West,F Other offences,F90 Miscellaneous offences,12,960000.0
2013,Brimbank,3021,Albanvale,F Other offences,F30 Other government regulatory offences,1,313000.0
2013,Brimbank,3021,Albanvale,F Other offences,F90 Miscellaneous offences,1,313000.0
2018,Brimbank,3021,Albanvale,F Other offences,F30 Other government regulatory offences,1,546000.0
2018,Brimbank,3021,Albanvale,F Other offences,F90 Miscellaneous offences,1,546000.0
2019,Brimbank,3021,Albanvale,F Other offences,F90 Miscellaneous offences,1,512000.0
2020,Brimbank,3021,Albanvale,F Other offences,F90 Miscellaneous offences,25,545000.0
2021,Brimbank,3021,Albanvale,F Other offences,F90 Miscellaneous offences,9,610000.0
2013,Port Phillip,3206,Albert Park,F Other offences,F30 Other government regulatory offences,2,1360000.0
2015,Port Phillip,3206,Albert Park,F Other offences,F30 Other government regulatory offences,3,1700000.0
2015,Port Phillip,3206,Albert Park,F Other offences,F90 Miscellaneous offences,1,1700000.0
2017,Port Phillip,3206,Albert Park,F Other offences,F90 Miscellaneous offences,1,2150000.0
2020,Port Phillip,3206,Albert Park,F Other offences,F20 Transport regulation offences,1,1895000.0
2020,Port Phillip,3206,Albert Park,F Other offences,F90 Miscellaneous offences,71,1895000.0
2021,Port Phillip,3206,Albert Park,F Other offences,F90 Miscellaneous offences,7,2300000.0
2014,Brimbank,3020,Albion,F Other offences,F20 Transport regulation offences,2,432000.0
2015,Brimbank,3020,Albion,F Other offences,F90 Miscellaneous offences,1,481000.0
2016,Brimbank,3020,Albion,F Other offences,F20 Transport regulation offences,3,593000.0
2016,Brimbank,3020,Albion,F Other offences,F90 Miscellaneous offences,1,593000.0
2017,Brimbank,3020,Albion,F Other offences,F20 Transport regulation offences,2,730000.0
2018,Brimbank,3020,Albion,F Other offences,F20 Transport regulation offences,3,755000.0
2019,Brimbank,3020,Albion,F Other offences,F20 Transport regulation offences,2,675000.0
2020,Brimbank,3020,Albion,F Other offences,F20 Transport regulation offences,1,727500.0
2020,Brimbank,3020,Albion,F Other offences,F90 Miscellaneous offences,32,727500.0
2021,Brimbank,3020,Albion,F Other offences,F90 Miscellaneous offences,3,830000.0
