,Year,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,locality,Median 2013,Median 2014,Median 2015,Median 2016,Median 2017,Median 2018,Median 2019,Median 2020,Median 2021,Median 2022,_merge
388,2022,Wodonga,3691,Barnawartha North,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,1,Bandiana,339000.0,355000.0,377500.0,370000.0,375000.0,390000.0,374000.0,380000.0,447000.0,449500.0,both
389,2022,Wodonga,3691,Barnawartha North,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,1,Baranduda,345000.0,330000.0,323000.0,350000.0,350000.0,403500.0,395000.0,430500.0,487000.0,683000.0,both
390,2022,Wodonga,3691,Barnawartha North,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,1,Leneva,361500.0,372500.0,370500.0,376000.0,397500.0,387500.0,426000.0,470000.0,554000.0,635000.0,both
391,2022,Wodonga,3691,Barnawartha North,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences,1,Osborne,530000.0,540500.0,580000.0,640000.0,735000.0,757000.0,777500.0,850500.0,1114000.0,1070000.0,both
440,2022,Wodonga,3691,Ebden,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences,4,Bandiana,339000.0,355000.0,377500.0,370000.0,375000.0,390000.0,374000.0,380000.0,447000.0,449500.0,both
441,2022,Wodonga,3691,Ebden,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences,4,Baranduda,345000.0,330000.0,323000.0,350000.0,350000.0,403500.0,395000.0,430500.0,487000.0,683000.0,both
442,2022,Wodonga,3691,Ebden,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences,4,Leneva,361500.0,372500.0,370500.0,376000.0,397500.0,387500.0,426000.0,470000.0,554000.0,635000.0,both
443,2022,Wodonga,3691,Ebden,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences,4,Osborne,530000.0,540500.0,580000.0,640000.0,735000.0,757000.0,777500.0,850500.0,1114000.0,1070000.0,both
600,2021,Indigo,3691,Kergunyah,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,1,Bandiana,339000.0,355000.0,377500.0,370000.0,375000.0,390000.0,374000.0,380000.0,447000.0,449500.0,both
601,2021,Indigo,3691,Kergunyah,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,1,Baranduda,345000.0,330000.0,323000.0,350000.0,350000.0,403500.0,395000.0,430500.0,487000.0,683000.0,both
602,2021,Indigo,3691,Kergunyah,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,1,Leneva,361500.0,372500.0,370500.0,376000.0,397500.0,387500.0,426000.0,470000.0,554000.0,635000.0,both
603,2021,Indigo,3691,Kergunyah,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals,1,Osborne,530000.0,540500.0,580000.0,640000.0,735000.0,757000.0,777500.0,850500.0,1114000.0,1070000.0,both
744,2021,Towong,3691,Bethanga,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences,5,Bandiana,339000.0,355000.0,377500.0,370000.0,375000.0,390000.0,374000.0,380000.0,447000.0,449500.0,both
