,locality,Postcode,Median 2013,Median 2014,Median 2015,Median 2016,Median 2017,Median 2018,Median 2019,Median 2020,Median 2021,Median 2022
0,Abbotsford,3067,792500.0,862500.0,925000.0,1187500.0,1280000.0,1192500.0,1050000.0,1200000.0,1375000.0,1517500.0
1,Aberfeldie,3040,947500.0,1045000.0,1207500.0,1300000.0,1471000.0,1498500.0,1390000.0,1520000.0,1880500.0,1575000.0
2,Aintree,3336,,,600000.0,600000.0,571000.0,557500.0,575000.0,640000.0,719000.0,760000.0
3,Aireys Inlet,3231,664000.0,625500.0,680000.0,715000.0,737500.0,869000.0,985000.0,1132500.0,1775000.0,1750000.0
4,Airport West,3042,532000.0,575000.0,635000.0,742000.0,845000.0,845000.0,795000.0,812500.0,960000.0,919500.0
5,Albanvale,3021,313000.0,328000.0,345000.0,439000.0,526500.0,546000.0,512000.0,545000.0,610000.0,605000.0
6,Albert Park,3206,1360000.0,1503000.0,1700000.0,1775000.0,2150000.0,2070000.0,1990000.0,1895000.0,2300000.0,2076000.0
7,Albion,3020,379000.0,432000.0,481000.0,593000.0,730000.0,755000.0,675000.0,727500.0,830000.0,785000.0
8,Alexandra,3714,261000.0,247500.0,285000.0,275000.0,291500.0,335000.0,325000.0,380000.0,440000.0,545000.0
9,Alfredton,3350,361500.0,362000.0,340500.0,375000.0,412500.0,439000.0,480000.0,512000.0,605000.0,700000.0
10,Allansford,3277,310000.0,242500.0,259000.0,275000.0,280000.0,245000.0,300000.0,371000.0,441500.0,629000.0
11,Alphington,3078,1080000.0,1029000.0,1296500.0,1272500.0,1560000.0,1612500.0,1460000.0,1865000.0,2290000.0,1990000.0
12,Altona,3018,575000.0,646500.0,718000.0,829000.0,950000.0,932500.0,890000.0,917000.0,1160000.0,1018000.0
13,Altona East,3025,561000.0,603000.0,650000.0,795000.0,885000.0,902000.0,855000.0,870000.0,1015000.0,1095000.0
14,Altona Meadows,3028,390000.0,413000.0,440000.0,495000.0,625000.0,631500.0,617500.0,640000.0,720000.0,750000.0
15,Altona North,3025,510000.0,555000.0,645000.0,726000.0,828000.0,830000.0,780000.0,830000.0,960000.0,920000.0
16,Anglesea,3230,550000.0,612500.0,635000.0,652500.0,788000.0,870000.0,915000.0,1100000.0,1440000.0,1712500.0
17,Apollo Bay,3233,450000.0,457500.0,435000.0,480000.0,545000.0,555000.0,600000.0,710000.0,914500.0,1160000.0
18,Ararat,3377,180000.0,200000.0,210000.0,204500.0,199000.0,199000.0,215000.0,244000.0,313000.0,340000.0
19,Ardeer,3022,330000.0,360000.0,381500.0,517500.0,595000.0,629000.0,572000.0,615000.0,719000.0,737500.0
20,Armadale,3143,1675000.0,1750000.0,2172500.0,2364000.0,2300000.0,2341500.0,2490000.0,2575000.0,2585000.0,2721000.0
21,Armstrong Creek,3217,467500.0,441500.0,440000.0,450000.0,471000.0,535000.0,529500.0,547000.0,660000.0,721000.0
22,Ascot (Greater Bendigo),Unknown,349500.0,344500.0,349000.0,370000.0,358000.0,380000.0,415500.0,470000.0,562500.0,555000.0
23,Ascot Vale,3032,735000.0,810000.0,885000.0,1010000.0,1185000.0,1197500.0,1098500.0,1270000.0,1315000.0,1270000.0
24,Ashburton,3147,1000000.0,1200000.0,1435000.0,1567500.0,1812500.0,1712500.0,1641500.0,1600000.0,2000000.0,2225000.0
25,Ashwood,3147,775000.0,888000.0,1140000.0,1230000.0,1359000.0,1210000.0,1100000.0,1250500.0,1442500.0,1410000.0
26,Aspendale,3195,620000.0,690000.0,795500.0,891000.0,1125000.0,980000.0,988000.0,1120000.0,1300000.0,1350000.0
27,Aspendale Gardens,3195,586500.0,632000.0,715000.0,775000.0,882500.0,935000.0,844000.0,970000.0,1131000.0,1157000.0
28,Attwood,3049,540000.0,515000.0,620000.0,660000.0,742500.0,750000.0,767500.0,750000.0,970000.0,703000.0
29,Avenel,3664,231000.0,302000.0,245000.0,250000.0,355000.0,349000.0,370000.0,450000.0,455000.0,515000.0
30,Avoca,3467,182500.0,180000.0,182500.0,165000.0,212500.0,220000.0,219500.0,290000.0,325000.0,375000.0
31,Avondale Heights,3034,532500.0,560000.0,650000.0,750000.0,845500.0,830000.0,810000.0,842500.0,970000.0,990000.0
32,Avonsleigh,3782,420000.0,355000.0,397500.0,501000.0,562000.0,540000.0,532500.0,615000.0,752500.0,705000.0
33,Bacchus Marsh,3340,335500.0,348000.0,355000.0,376000.0,415500.0,480000.0,500000.0,520000.0,596500.0,620000.0
34,Badger Creek,3777,315000.0,325000.0,345000.0,379000.0,465000.0,500000.0,498000.0,550000.0,665000.0,700000.0
35,Bairnsdale,3875,235000.0,244000.0,246500.0,255000.0,272500.0,279000.0,274000.0,290000.0,350000.0,425000.0
36,Balaclava,3183,860500.0,942000.0,1100000.0,1242500.0,1385500.0,1196000.0,1350000.0,1390000.0,1550000.0,1660000.0
37,Balcombe,Unknown,712500.0,737000.0,871000.0,950000.0,1100000.0,1240000.0,1125000.0,1300000.0,1750000.0,1852500.0
38,Ballan,3342,352000.0,330000.0,359000.0,370000.0,417000.0,462000.0,450000.0,505000.0,603500.0,661000.0
39,Ballarat Central,3350,322000.0,327500.0,353000.0,385000.0,430000.0,447500.0,515000.0,560000.0,700000.0,710000.0
40,Ballarat East,3350,265000.0,265000.0,275000.0,295000.0,310000.0,340000.0,360000.0,398000.0,487500.0,540000.0
41,Ballarat North,3350,296000.0,312000.0,315000.0,339500.0,346500.0,389000.0,415000.0,425000.0,566500.0,635000.0
42,Balnarring,3926,525000.0,544000.0,595000.0,670000.0,815000.0,814500.0,825000.0,938500.0,1275000.0,1306500.0
43,Balnarring Beach,3926,750000.0,700000.0,887500.0,904000.0,890000.0,1115000.0,1275000.0,1250000.0,1570000.0,1847500.0
44,Balwyn,3103,1530000.0,1780000.0,2210000.0,2180000.0,2340000.0,2420000.0,2385000.0,2260000.0,2750000.0,2716500.0
45,Balwyn North,3104,1240000.0,1452000.0,1850000.0,1800000.0,1950000.0,1810000.0,1720000.0,1887500.0,2255500.0,1976500.0
46,Bandiana,3691,339000.0,355000.0,377500.0,370000.0,375000.0,390000.0,374000.0,380000.0,447000.0,449500.0
47,Bannockburn,3331,370000.0,405000.0,393000.0,382000.0,430000.0,487500.0,530000.0,555000.0,680000.0,720000.0
48,Baranduda,3691,345000.0,330000.0,323000.0,350000.0,350000.0,403500.0,395000.0,430500.0,487000.0,683000.0
49,Barnawartha,3688,245000.0,220000.0,305000.0,245000.0,312000.0,280000.0,316000.0,345000.0,358500.0,405000.0
50,Barwon Heads,3227,742500.0,715000.0,775000.0,842500.0,916000.0,965000.0,1023000.0,1285000.0,1557000.0,1667500.0
51,Baxter,3911,330500.0,325000.0,340000.0,403000.0,530000.0,542500.0,530000.0,567500.0,710000.0,787500.0
52,Bayswater,3153,458500.0,525000.0,632500.0,693000.0,800500.0,753000.0,720000.0,747000.0,872500.0,936500.0
53,Bayswater North,3153,468500.0,490000.0,580000.0,628000.0,737500.0,713000.0,695000.0,731000.0,860000.0,868500.0
54,Beaconsfield,3807,486500.0,525000.0,559000.0,585000.0,694500.0,730000.0,685000.0,711000.0,892000.0,891000.0
55,Beaconsfield Upper,3808,470000.0,507500.0,602500.0,630000.0,725500.0,903500.0,787500.0,818000.0,900000.0,1205000.0
56,Beaufort,3373,186000.0,220000.0,205000.0,237500.0,220000.0,225000.0,242500.0,325000.0,390000.0,380000.0
57,Beaumaris,3193,1074000.0,1129500.0,1345000.0,1455000.0,1611000.0,1674000.0,1587500.0,1725000.0,2100000.0,2060000.0
58,Beeac,3251,157500.0,162500.0,158000.0,148000.0,200500.0,191500.0,180000.0,265000.0,345500.0,
59,Beechworth,3747,295000.0,295000.0,332000.0,345000.0,399000.0,400000.0,478500.0,487500.0,645000.0,645000.0
60,Belgrave,3160,410000.0,426000.0,482500.0,545000.0,620000.0,676000.0,636000.0,680000.0,782500.0,913000.0
61,Belgrave Heights,3160,430000.0,480000.0,590500.0,624000.0,687500.0,701500.0,685000.0,737500.0,902500.0,1167000.0
62,Belgrave South,3160,548000.0,541000.0,555500.0,565000.0,689000.0,782500.0,665500.0,845000.0,1085000.0,885000.0
63,Bell Park,3215,314000.0,323500.0,340000.0,360000.0,400000.0,452500.0,482000.0,500000.0,620000.0,560000.0
64,Bell Post Hill,3215,328000.0,333500.0,344500.0,355000.0,435000.0,487000.0,475000.0,508500.0,657500.0,707500.0
65,Bellfield (Banyule),Unknown,516000.0,582500.0,700000.0,778000.0,897000.0,882500.0,790000.0,800000.0,973000.0,
66,Belmont,3216,360000.0,362000.0,395000.0,430000.0,500000.0,545000.0,545000.0,605000.0,730000.0,745000.0
67,Benalla,3672,228000.0,235500.0,222500.0,231500.0,250000.0,284000.0,290000.0,302000.0,394000.0,415000.0
68,Bendigo,3550,340000.0,376500.0,372000.0,400000.0,400000.0,400000.0,420000.0,500000.0,602500.0,660000.0
69,Bentleigh,3204,900000.0,1050000.0,1245000.0,1380000.0,1470000.0,1394000.0,1376000.0,1510000.0,1748500.0,1680000.0
70,Bentleigh East,3165,750000.0,850000.0,1000500.0,1115000.0,1256000.0,1205000.0,1200000.0,1252500.0,1470000.0,1528000.0
71,Berwick,3806,453000.0,487500.0,535000.0,583000.0,670000.0,691000.0,672000.0,700000.0,830000.0,862500.0
72,Beveridge,3753,396000.0,351500.0,400000.0,430000.0,495000.0,540000.0,590000.0,540000.0,642500.0,684000.0
73,Birchip,3483,120000.0,90000.0,121500.0,55000.0,100000.0,100000.0,108500.0,121500.0,130000.0,180000.0
74,Birregurra,3242,255000.0,337500.0,302500.0,345000.0,382500.0,412500.0,463000.0,489500.0,692500.0,807500.0
75,Bittern,3918,402000.0,390000.0,382500.0,464000.0,526500.0,650000.0,577500.0,630000.0,748000.0,872500.0
76,Black Hill,3350,283500.0,321500.0,300000.0,315000.0,370000.0,405000.0,492500.0,491000.0,550000.0,650000.0
77,Black Rock,3193,1225000.0,1400000.0,1545000.0,1745000.0,2017500.0,2023000.0,1793000.0,1900000.0,2547500.0,2925000.0
78,Blackburn,3130,860500.0,936000.0,1200500.0,1241000.0,1410000.0,1370500.0,1305000.0,1408000.0,1638500.0,1845500.0
79,Blackburn North,3130,692000.0,790000.0,921500.0,1040000.0,1140500.0,1038000.0,1017500.0,1090000.0,1300000.0,1430500.0
80,Blackburn South,3130,697500.0,780000.0,920500.0,1050000.0,1200000.0,1063500.0,1034000.0,1100500.0,1338500.0,1325000.0
81,Blackwood,3458,310000.0,266000.0,260000.0,291000.0,403000.0,326500.0,372500.0,477500.0,610000.0,730000.0
82,Blairgowrie,3942,609000.0,627500.0,621500.0,770000.0,883000.0,990500.0,921500.0,1142000.0,1550000.0,1670000.0
83,Blind Bight,3980,362500.0,343000.0,401000.0,440000.0,514000.0,546000.0,552500.0,570000.0,668500.0,700000.0
84,Bonbeach,3196,580000.0,635000.0,700000.0,778000.0,882500.0,910000.0,855000.0,930000.0,1100000.0,1191000.0
85,Bonnie Doon,3720,250000.0,275000.0,290000.0,290000.0,315000.0,417500.0,410000.0,372500.0,565000.0,762500.0
86,Bonshaw,3352,,309000.0,309000.0,322500.0,235000.0,400000.0,379000.0,435000.0,523500.0,585000.0
87,Boolarra,3870,196500.0,260000.0,212500.0,202500.0,255000.0,250000.0,247500.0,255000.0,355000.0,
88,Boort,3537,157500.0,162500.0,130000.0,200500.0,215000.0,180000.0,185000.0,165000.0,240000.0,215000.0
89,Boronia,3155,459500.0,500500.0,592500.0,648500.0,735000.0,742500.0,680000.0,715000.0,845000.0,852500.0
90,Botanic Ridge,3977,492000.0,519000.0,565000.0,600000.0,690000.0,730000.0,700000.0,726000.0,880000.0,875000.0
