,Suburb/Town Name
Melbourne,2299
Bundoora,1395
Highett,956
Southbank,906
Cheltenham,876
South Yarra,867
Port Melbourne,845
Flemington,816
Tullamarine,808
Greensborough,808
Glen Iris,782
Truganina,770
Fawkner,728
Dandenong,725
Kensington,708
Frankston,703
Kilsyth,702
St Kilda East,696
Hillside,694
St Kilda,676
Mildura,676
Burwood,671
Traralgon,669
Preston,668
Warrnambool,667
Pakenham,661
Shepparton,660
Broadmeadows,657
Oakleigh South,653
Werribee,650
Richmond,650
Keilor East,650
Reservoir,649
Carlton,647
Morwell,646
Craigieburn,643
Docklands,642
Sunshine,640
Bendigo,639
Sunbury,638
Wangaratta,636
St Albans,636
Epping,636
Footscray,634
Ringwood,630
Geelong,629
Narre Warren,628
Windsor,624
Horsham,622
Fitzroy North,622
Cranbourne,618
Prahran,617
Noble Park,617
Wodonga,617
Wantirna South,616
Ballarat Central,616
Sale,616
Moe,616
Laverton,616
Coburg,611
Seaford,608
Hoppers Crossing,606
Springvale,606
Thomastown,605
Mill Park,605
Fairfield,605
Swan Hill,602
Brunswick,601
Doreen,599
Boronia,597
Croydon,597
Lilydale,594
Glenroy,592
Mornington,591
Berwick,591
Bairnsdale,589
Corio,587
Benalla,587
South Melbourne,585
Warragul,585
Hamilton,583
Melton,583
Fitzroy,583
Seymour,582
North Melbourne,580
Doncaster,580
Rosebud,579
Carrum Downs,578
Clifton Hill,578
Ferntree Gully,577
Glen Waverley,576
Ararat,572
Macleod,569
Mooroolbark,566
Echuca,564
Northcote,563
Portland,562
Moonee Ponds,559
Hastings,559
Box Hill,559
Colac,558
Brunswick East,558
Collingwood,558
Point Cook,558
Lalor,557
Clayton,556
Wallan,555
Heidelberg,551
Rowville,549
Williamstown,549
Wendouree,549
Norlane,548
Surrey Hills,548
Hampton Park,546
Tarneit,545
Essendon,545
Bayswater,544
Stawell,543
Drouin,542
West Melbourne,542
Maryborough,541
Brooklyn,540
East Melbourne,539
Wonthaggi,539
Deer Park,539
Melton South,538
Altona,538
Mount Waverley,538
Beaconsfield,537
Roxburgh Park,537
Frankston North,535
Bacchus Marsh,533
South Morang,531
Endeavour Hills,531
Malvern East,530
Heidelberg West,530
Keysborough,528
Dandenong North,528
Caroline Springs,527
Campbellfield,527
Altona North,526
Sunshine North,526
Ascot Vale,526
Langwarrin,525
Narre Warren South,525
Moorabbin,524
Doveton,524
Kangaroo Flat,523
Mordialloc,523
Kew,521
Brighton,521
Meadow Heights,520
Taylors Lakes,520
Hawthorn,519
Nunawading,518
Abbotsford,518
Eltham,517
Mooroopna,517
Sunshine West,516
Oakleigh,516
Cranbourne North,516
Newborough,515
Hallam,515
Thornbury,513
Bentleigh East,512
Mernda,511
Lakes Entrance,510
Altona Meadows,507
Belmont,507
Sebastopol,507
Castlemaine,506
Braybrook,506
Maribyrnong,506
West Wodonga,505
Clayton South,504
Lara,504
Mulgrave,504
Doncaster East,503
Mentone,501
Coburg North,501
Camberwell,500
Diggers Rest,499
Kyneton,498
Pascoe Vale,497
Melton West,496
Golden Square,496
