Year,Local Government Area,Postcode,Suburb/Town Name,Offence Count
2013,Alpine,3697,Tawonga,1
2013,Alpine,3698,Tawonga South,2
2013,Alpine,3699,Mount Beauty,6
2013,Alpine,3737,Myrtleford,42
2013,Alpine,3740,Porepunkah,2
2013,Alpine,3741,Bright,15
2013,Ararat,3377,Ararat,200
2013,Ballarat,3350,Alfredton,45
2013,Ballarat,3350,Ballarat Central,481
2013,Ballarat,3350,Ballarat East,95
2013,Ballarat,3350,Ballarat North,23
2013,Ballarat,3350,Black Hill,14
2013,Ballarat,3350,Brown Hill,17
2013,Ballarat,3350,Canadian,32
2013,Ballarat,3350,Eureka,2
2013,Ballarat,3350,Invermay Park,3
2013,Ballarat,3350,Lake Wendouree,13
2013,Ballarat,3350,Mount Clear,34
2013,Ballarat,3350,Mount Helen,4
2013,Ballarat,3350,Mount Pleasant,29
2013,Ballarat,3350,Nerrina,4
2013,Ballarat,3350,Newington,18
2013,Ballarat,3350,Redan,42
2013,Ballarat,3350,Soldiers Hill,30
2013,Ballarat,3352,Miners Rest,7
2013,Ballarat,3355,Lake Gardens,5
2013,Ballarat,3355,Mitchell Park,9
2013,Ballarat,3355,Wendouree,228
2013,Ballarat,3356,Delacombe,55
2013,Ballarat,3356,Sebastopol,176
2013,Ballarat,3357,Buninyong,16
2013,Ballarat,3358,Winter Valley,4
2013,Banyule,3079,Ivanhoe,90
2013,Banyule,3079,Ivanhoe East,20
2013,Banyule,3081,Heidelberg Heights,91
2013,Banyule,3081,Heidelberg West,200
2013,Banyule,3083,Bundoora,102
2013,Banyule,3084,Eaglemont,10
2013,Banyule,3084,Heidelberg,117
2013,Banyule,3084,Rosanna,44
2013,Banyule,3084,Viewbank,30
2013,Banyule,3085,Macleod,39
2013,Banyule,3085,Yallambie,15
2013,Banyule,3087,Watsonia,48
2013,Banyule,3087,Watsonia North,13
2013,Banyule,3088,Briar Hill,8
2013,Banyule,3088,Greensborough,169
2013,Banyule,3088,St Helena,13
2013,Banyule,3093,Lower Plenty,33
2013,Banyule,3094,Montmorency,45
2013,Banyule,3095,Eltham North,44
2013,Bass Coast,3922,Cowes,87
2013,Bass Coast,3922,Smiths Beach,2
2013,Bass Coast,3922,Sunderland Bay,10
2013,Bass Coast,3922,Sunset Strip,5
2013,Bass Coast,3922,Surf Beach,4
2013,Bass Coast,3922,Ventnor,20
2013,Bass Coast,3922,Wimbledon Heights,6
2013,Bass Coast,3923,Rhyll,1
2013,Bass Coast,3925,Newhaven,3
2013,Bass Coast,3925,San Remo,11
2013,Bass Coast,3984,Corinella,5
2013,Bass Coast,3984,Coronet Bay,14
2013,Bass Coast,3984,Grantville,7
2013,Bass Coast,3984,Lang Lang,1
2013,Bass Coast,3984,Pioneer Bay,5
2013,Bass Coast,3992,Dalyston,1
2013,Bass Coast,3995,Cape Paterson,11
2013,Bass Coast,3995,Kilcunda,2
2013,Bass Coast,3995,North Wonthaggi,39
2013,Bass Coast,3995,South Dudley,13
2013,Bass Coast,3995,Wonthaggi,218
2013,Bass Coast,3996,Inverloch,40
2013,Baw Baw,3816,Longwarry,53
2013,Baw Baw,3818,Drouin,146
2013,Baw Baw,3820,Warragul,232
2013,Baw Baw,3823,Yarragon,6
2013,Baw Baw,3824,Trafalgar,29
2013,Baw Baw,3825,Rawson,6
2013,Baw Baw,3831,Neerim South,13
2013,Bayside,3186,Brighton,98
2013,Bayside,3187,Brighton East,57
2013,Bayside,3188,Hampton,75
2013,Bayside,3188,Hampton East,77
2013,Bayside,3190,Highett,59
2013,Bayside,3191,Sandringham,82
2013,Bayside,3192,Cheltenham,17
2013,Bayside,3193,Beaumaris,42
2013,Bayside,3193,Black Rock,13
2013,Benalla,3672,Benalla,261
2013,Boroondara,3101,Kew,107
2013,Boroondara,3102,Kew East,25
2013,Boroondara,3103,Balwyn,62
2013,Boroondara,3103,Deepdene,5
2013,Boroondara,3104,Balwyn North,62
2013,Boroondara,3122,Hawthorn,139
2013,Boroondara,3123,Hawthorn East,30
2013,Boroondara,3124,Camberwell,111
2013,Boroondara,3126,Canterbury,14
2013,Boroondara,3127,Surrey Hills,21
2013,Boroondara,3146,Glen Iris,54
2013,Boroondara,3147,Ashburton,52
2013,Brimbank,3012,Brooklyn,3
2013,Brimbank,3020,Albion,71
2013,Brimbank,3020,Sunshine,459
2013,Brimbank,3020,Sunshine North,151
2013,Brimbank,3020,Sunshine West,269
2013,Brimbank,3021,Albanvale,64
2013,Brimbank,3021,Kealba,31
2013,Brimbank,3021,Kings Park,109
2013,Brimbank,3021,St Albans,611
2013,Brimbank,3022,Ardeer,42
2013,Brimbank,3023,Cairnlea,67
2013,Brimbank,3023,Deer Park,191
2013,Brimbank,3026,Derrimut,71
2013,Brimbank,3033,Keilor East,3
2013,Brimbank,3036,Keilor,27
2013,Brimbank,3037,Delahey,64
2013,Brimbank,3037,Sydenham,96
2013,Brimbank,3038,Keilor Downs,96
2013,Brimbank,3038,Keilor Lodge,12
2013,Brimbank,3038,Taylors Lakes,139
2013,Brimbank,3042,Keilor Park,11
2013,Brimbank,3043,Tullamarine,9
2013,Buloke,3480,Donald,13
2013,Buloke,3483,Birchip,5
2013,Buloke,3525,Charlton,9
2013,Buloke,3527,Wycheproof,3
2013,Buloke,3533,Sea Lake,3
2013,Campaspe,3561,Rochester,39
2013,Campaspe,3563,Lockington,6
2013,Campaspe,3564,Echuca,240
2013,Campaspe,3612,Rushworth,27
2013,Campaspe,3620,Kyabram,76
2013,Campaspe,3621,Tongala,6
2013,Campaspe,3623,Stanhope,27
2013,Cardinia,3781,Cockatoo,33
2013,Cardinia,3782,Avonsleigh,9
2013,Cardinia,3782,Emerald,30
2013,Cardinia,3783,Gembrook,14
2013,Cardinia,3807,Beaconsfield,54
2013,Cardinia,3808,Beaconsfield Upper,14
2013,Cardinia,3809,Officer,25
2013,Cardinia,3810,Pakenham,659
2013,Cardinia,3812,Nar Nar Goon,11
2013,Cardinia,3814,Garfield,126
2013,Cardinia,3815,Bunyip,24
2013,Cardinia,3981,Koo Wee Rup,23
2013,Cardinia,3984,Lang Lang,17
2013,Casey,3156,Lysterfield South,6
2013,Casey,3177,Doveton,253
2013,Casey,3177,Eumemmerring,33
2013,Casey,3802,Endeavour Hills,268
2013,Casey,3803,Hallam,169
2013,Casey,3804,Narre Warren North,42
2013,Casey,3805,Narre Warren,372
2013,Casey,3805,Narre Warren South,214
2013,Casey,3806,Berwick,374
2013,Casey,3807,Beaconsfield,10
2013,Casey,3912,Pearcedale,28
2013,Casey,3975,Lynbrook,62
