,locality
ABBOTSFORD,1
NUNAWADING,1
NOBLE PARK NORTH,1
NORLANE,1
NORTH BENDIGO,1
NORTH GEELONG,1
NORTH MELBOURNE,1
NORTH SHORE,1
NORTH WONTHAGGI,1
NORTHCOTE,1
NOTTING HILL,1
NUMURKAH,1
NYAH WEST,1
NIDDRIE,1
NYORA,1
OAK PARK,1
OAKLEIGH,1
OAKLEIGH EAST,1
OAKLEIGH SOUTH,1
OCEAN GROVE,1
OFFICER,1
OFFICER SOUTH,1
OLINDA,1
OMEO,1
NOBLE PARK,1
NICHOLS POINT,1
MULGRAVE,1
NEERIM SOUTH,1
MURRUMBEENA,1
MURTOA,1
MYRTLEFORD,1
NAGAMBIE,1
NAR NAR GOON,1
NARRE WARREN,1
NARRE WARREN NORTH,1
NARRE WARREN SOUTH,1
NATHALIA,1
NATIMUK,1
NELSON,1
NHILL,1
NERRINA,1
NEW GISBORNE,1
NEWBOROUGH,1
NEWCOMB,1
NEWHAVEN,1
NEWINGTON,1
NEWLANDS ARM,1
NEWPORT,1
NEWSTEAD,1
NEWTOWN (GREATER GEELONG),1
ORBOST,1
ORMOND,1
OSBORNE,1
RAWSON,1
PORTLAND,1
PORTLAND NORTH,1
PORTSEA,1
PRAHRAN,1
PRESTON,1
PRINCES HILL,1
PYRAMID HILL,1
QUARRY HILL,1
QUEENSCLIFF,1
RAINBOW,1
RAYMOND ISLAND,1
OUYEN,1
RED CLIFFS,1
REDAN,1
RESEARCH,1
RESERVOIR,1
RHYLL,1
RICHMOND,1
RIDDELLS CREEK,1
RINGWOOD,1
RINGWOOD EAST,1
RINGWOOD NORTH,1
PORTARLINGTON,1
PORT WELSHPOOL,1
PORT MELBOURNE,1
PORT FAIRY,1
PAKENHAM,1
PARADISE BEACH,1
PARK ORCHARDS,1
PARKDALE,1
PARKVILLE,1
PASCOE VALE,1
PASCOE VALE SOUTH,1
PATTERSON GARDENS,1
PATTERSON LAKES,1
PAYNESVILLE,1
PEARCEDALE,1
PENSHURST,1
PETERBOROUGH,1
PIONEER BAY,1
PLENTY,1
POINT COOK,1
POINT LONSDALE,1
POOWONG,1
POREPUNKAH,1
PORT ALBERT,1
PORT CAMPBELL,1
MURCHISON,1
MOUNT WAVERLEY,1
ABERFELDIE,1
MAMBOURIN,1
MACS COVE,1
MADDINGLEY,1
MAFFRA,1
MAIDEN GULLY,1
MAIDSTONE,1
MALDON,1
MALLACOOTA,1
MALMSBURY,1
MALVERN,1
MALVERN EAST,1
MANIFOLD HEIGHTS,1
MACEDON,1
MANOR LAKES,1
MANSFIELD,1
MARENGO,1
MARIBYRNONG,1
MARLO,1
MARONG,1
MARSHALL,1
MARYBOROUGH,1
MARYSVILLE,1
MCCRAE,1
MACLEOD,1
LYSTERFIELD SOUTH,1
MOUNT PLEASANT,1
LOCH,1
LAUNCHING PLACE,1
LAVERTON,1
LAVERTON SOUTH,1
LEITCHVILLE,1
LENEVA,1
LEONGATHA,1
LEOPOLD,1
LILYDALE,1
LINDENOW,1
LISMORE,1
LOCH SPORT,1
LYSTERFIELD,1
LOCKINGTON,1
LONG GULLY,1
LONGWARRY,1
LORNE,1
LOVELY BANKS,1
LOWER PLENTY,1
LUCAS,1
LUCKNOW,1
LYNBROOK,1
LYNDHURST,1
MCKENZIE HILL,1
MCKINNON,1
MCLOUGHLINS BEACH,1
MORTLAKE,1
