Offence Subdivision,Offence Count
B40 Theft,1613247
E20 Breaches of orders,578829
B30 Burglary/Break and enter,421525
A20 Assault and related offences,420295
B20 Property damage,412405
B50 Deception,341060
C30 Drug use and possession,240559
D20 Disorderly and offensive conduct,151926
D10 Weapons and explosives offences,151033
Other crimes against the person,141823
"A70 Stalking, harassment and threatening behaviour",122902
E10 Justice procedures,109831
A80 Dangerous and negligent acts endangering people,55018
F90 Miscellaneous offences,52578
C10 Drug dealing and trafficking,46385
D30 Public nuisance offences,34500
B10 Arson,31064
A50 Robbery,29246
C20 Cultivate or manufacture drugs,16764
F30 Other government regulatory offences,5287
F20 Transport regulation offences,4797
D40 Public security offences,1818
C90 Other drug offences,1175
F10 Regulatory driving offences,204
B60 Bribery,116
