,0
0,Dederang
1,Gundowring
2,Mongans Bridge
3,Running Creek
4,Upper Gundowring
5,Bogong
6,Barwidgee
7,Buffalo River
8,Gapsted
9,Merriang
10,Merriang South
11,Ovens
12,Eurobin
13,Buckland
14,Mount Buffalo
15,Harrietville
16,Smoko
17,Wandiligong
18,Pura Pura
19,Lake Bolac
20,Streatham
21,Great Western
22,Ballyrogan
23,Bayindeen
24,Buangor
25,Armstrong
26,Cathcart
27,Crowlands
28,Denicull Creek
29,Dobie
30,Dunneworthy
31,Maroona
32,Mount Cole Creek
33,Moyston
34,Norval
35,Rhymney
36,Warrak
37,Tatyoon
38,Mafeking
39,Wickliffe
40,Willaura
41,Willaura North
42,Black Range
43,Pomonal
44,Elmhurst
45,Glenlogie
46,Bakery Hill
47,Golden Point
48,Bo Peep
49,Addington
50,Blowhard
51,Bunkers Hill
52,Burrumbeet
53,Cardigan
54,Cardigan Village
55,Chapel Flat
56,Durham Lead
57,Glen Park
58,Gong Gong
59,Invermay
60,Learmonth
61,Magpie
62,Mount Bolton
63,Mount Rowan
64,Scotsburn
65,Sulky
66,Warrenheip
67,Weatherboard
68,Windermere
69,Ascot
70,Bald Hills
71,Coghills Creek
72,Bellfield
73,Summerlands
74,Cape Woolamai
75,Krowera
76,Woodleigh
77,Kongwak
78,Almurta
79,Glen Alvie
80,Kernot
81,Adams Estate
82,Jam Jerrup
83,Tenby Point
84,The Gurdies
85,Glen Forbes
86,Bass
87,Ryanston
88,West Creek
89,Anderson
90,Harmers Haven
91,Lance Creek
92,St Clair
93,Wattle Bank
94,Woolamai
95,Labertouche
96,Longwarry North
97,Modella
98,Athlone
99,Drouin East
100,Drouin South
101,Drouin West
102,Hallora
103,Jindivick
104,Ripplebrook
105,Bona Vista
106,Lillico
107,Brandy Creek
108,Buln Buln
109,Buln Buln East
110,Crossover
111,Ellinbank
112,Lardner
113,Nilma
114,Nilma North
115,Rokeby
116,Shady Creek
117,Tetoora Road
118,Warragul South
119,Cloverlea
120,Darnum
121,Yarragon South
122,Childers
123,Narracan
124,Thorpdale South
125,Trafalgar East
126,Trafalgar South
127,Caringal
128,Coalville
129,Erica
130,Hill End
131,Jacob Creek
132,Moe South
133,Moondarra
134,Tanjil South
135,Thomson
136,Toombon
137,Walhalla
138,Willow Grove
139,Neerim
140,Neerim East
141,Nayook
142,Neerim Junction
143,Neerim North
144,Baw Baw
145,Gentle Annie
146,Noojee
147,Vesper
148,Thorpdale
149,Allambee Reserve
150,Strzelecki
151,Mountain View
152,Poowong East
153,Baddaginnie
154,Tarnook
155,Warrenbayne
156,Lima
157,Lima East
158,Lima South
159,Lurg
160,Molyullah
161,Samaria
162,Swanpool
163,Tatong
164,Upper Ryans Creek
165,Winton
166,Mount Bruno
167,Taminick
168,Bridge Creek
169,Chesney Vale
170,Goorambat
171,Stewarton
172,Bungeet West
173,Devenish
174,Thoona
175,Keilor North
176,Calder Park
177,Hillside
178,Coonooer Bridge
179,Corack East
180,Litchfield
181,Watchem
182,Woosang
183,Buckrabanyule
184,Nareewillock
185,Wooroonook
186,Dumosa
187,Nullawil
188,Berriwillock
189,Bimbourie
190,Lake Tyrrell
191,Nandaly
192,Ninda
193,Pier Milan
194,Redcastle
195,Myola
196,Toolleen
197,Muskerry
198,Burnewang
199,Runnymede
200,Colbinabbin
201,Corop
202,Gobarup
203,Ballendella
204,Bamawm
205,Bonn
206,Diggora
207,Fairy Dell
208,Nanneella
209,Timmering
210,Torrumbarry
211,Echuca Village
212,Echuca West
213,Kanyapella
214,Patho
215,Roslynmead
216,Wharparilla
217,Kotta
218,Gunbower
219,Milloo
220,Tennyson
221,Mitiamo
222,Pine Grove
223,Moora
224,Waranga Shores
225,Whroo
226,Lancaster
227,Wyuna
228,Wyuna East
229,Kyvalley
230,Yambuna
231,Koyuga
232,Strathallan
233,Carag Carag
234,Girgarre
235,Mount Burnett
236,Nangana
237,Clematis
238,Guys Hill
239,Pakenham South
240,Pakenham Upper
241,Rythdale
242,Maryknoll
243,Nar Nar Goon North
244,Tynong
245,Tynong North
246,Cora Lynn
247,Garfield North
248,Vervale
249,Bunyip North
250,Iona
251,Tonimbuk
252,Cardinia
253,Bayles
254,Catani
255,Dalmore
256,Heath Hill
257,Koo Wee Rup North
258,Yannathan
259,Caldermeade
260,Lang Lang East
261,Monomeith
262,Harkaway
263,Cannons Creek
264,Devon Meadows
265,Joyces Creek
266,Amherst
267,Caralulup
268,Dunach
269,Lillicur
270,Mount Glasgow
271,Red Lion
272,Talbot
273,Alma
274,Bowenvale
275,Bung Bong
276,Craigie
277,Daisy Hill
278,Flagstaff
279,Havelock
280,Majorca
281,Moolort
282,Moonlight Flat
283,Simson
284,Timor
285,Timor West
286,Wareek
287,Bet Bet
288,Betley
289,Goldsborough
290,Moliagul
291,Mount Hooghly
292,Bealiba
293,Cape Otway
294,Grey River
295,Kennett River
296,Separation Creek
297,Sugarloaf
298,Wye River
299,Forrest
300,Beech Forest
301,Wyelangta
302,Yuulong
303,Glenaire
304,Hordern Vale
305,Johanna
306,Lavers Hill
307,Carlisle River
308,Chapple Vale
309,Gellibrand
310,Ombersley
311,Barwon Downs
312,Murroon
313,Warncoort
314,Whoorel
315,Balintore
316,Barongarook
317,Barongarook West
318,Barramunga
319,Coragulac
320,Corunnun
321,Dreeite
322,Irrewarra
323,Irrewillipe
324,Kawarren
325,Larpent
326,Nalangil
327,Ondit
328,Pirron Yallock
329,Swan Marsh
330,Tanybryn
331,Warrion
332,Wool Wool
333,Yeo
334,Yeodene
335,Colac East
336,Colac West
337,Cundare
338,Weering
339,Cororooke
340,Stonyford
341,Wingeel
342,Cressy
343,Gellibrand Lower
344,Kennedys Creek
345,Bostocks Creek
346,Carpendeit
347,Gnotuk
348,Kariah
349,Pomborneit
350,Pomborneit North
351,South Purrumbete
352,Tesbury
353,Weerite
354,Boorcan
355,Dixie
356,Ecklin South
357,Garvoc
358,Glenormiston North
359,Glenormiston South
360,Kolora
361,Noorat
362,Noorat East
363,Bullaharre
364,Elingamite North
365,Glenfyne
366,Jancourt East
367,Naroghid
368,Simpson
369,Scotts Creek
370,Brucknell
371,Curdies River
372,Princetown
373,Waarre
374,Darlington
375,Berrybank
376,Foxhow
377,Mingay
378,Mount Bute
379,Vite Vite
380,Vite Vite North
381,Bradvale
382,Cobbannah
383,Fernbank
384,Glenaladale
385,Bullumwaal
386,Calulu
387,Clifton Creek
388,Ellaswood
389,Flaggy Creek
390,Forge Creek
391,Goon Nure
392,Granite Rock
393,Iguana Creek
394,Lindenow South
395,Merrijig
396,Mount Taylor
397,Sarsfield
398,Walpa
399,Woodglen
400,Wuk Wuk
401,Nicholson
402,Buchan
403,Buchan South
404,Gelantipy
405,Mossiface
406,Suggan Buggan
407,Tambo Upper
408,W Tree
409,Wiseleigh
410,Wulgulmerang East
411,Yalmy
412,Newmerella
413,Lake Tyers
414,Nowa Nowa
415,Wairewa
416,Bendoc
417,Bete Bolong
418,Bonang
419,Brodribb River
420,Cape Conran
421,Delegate River
422,Jarrahmond
423,Simpsons Creek
424,Tostaree
425,Tubbut
426,Waygara
427,Wombat Creek
428,Bemm River
429,Club Terrace
430,Cann River
431,Chandlers Creek
432,Noorinbee
433,Genoa
434,Wingan River
435,Double Bridges
436,Doctors Flat
437,Ensay
438,Bindi
439,Brookville
440,Swifts Creek
441,Tongio
442,Cobungra
443,Glen Valley
444,Omeo Valley
445,Benambra
446,Bumberrah
447,Johnsonville
448,Kalimna West
449,Nungurner
450,Toorloo Arm
451,Langwarrin South
452,Cannie
453,Quambatook
454,Lalbert
455,Horfield
456,Cullen
457,Daltons Bridge
458,McMillans
459,Mead
460,Mincha West
461,Wee Wee Rup
462,Benjeroop
463,Capels Crossing
464,Fairley
465,Kerang East
466,Macorna
467,Milnes Bridge
468,Murrabit
469,Murrabit West
470,Myall
471,Mystic Park
472,Normanville
473,Reedy Lake
474,Tragowel
475,Wandella
476,Lake Charm
477,Caulfield East
478,McKinnon
479,Narrawong
480,Tyrendarra
481,Branxholme
482,Condah
483,Hotspur
484,Wallacedale
485,Dartmoor
486,Drik Drik
487,Drumborg
488,Greenwald
489,Lyons
490,Milltown
491,Mumbannar
492,Myamyn
493,Allestree
494,Bolwarra
495,Cape Bridgewater
496,Cashmore
497,Dutton Way
498,Gorae
499,Gorae West
500,Heathmere
501,Mount Richmond
502,Portland West
503,Merino
504,Corndale
505,Bahgallah
506,Dunrobin
507,Henty
508,Lake Mundi
509,Sandford
510,Strathdownie
511,Wando Vale
512,Tahara Bridge
513,Anakie
514,Batesford
515,Murgheboluc
516,Stonehaven
517,Hesse
518,Inverleigh
519,Teesdale
520,Barunah Park
521,Shelford
522,Rokewood
523,Gheringhap
524,Maude
525,Russells Bridge
526,Steiglitz
527,Sutherlands Creek
528,Lethbridge
529,Durdidwarrah
530,Berringa
531,Cape Clear
532,Haddon
533,Illabarook
534,Newtown
535,Nintingbool
536,Rokewood Junction
537,Ross Creek
538,Scarsdale
539,Staffordshire Reef
540,Wallinduc
541,Cambrian Hill
542,Corindhap
543,Dereel
544,Enfield
545,Garibaldi
546,Grenville
547,Mount Mercer
548,Napoleons
549,Werneth
550,Linton
551,Mannibadar
552,Willowvale
553,Mia Mia
554,Redesdale
